timestamp,x,y
2026-03-31T10:22:02.478773,-111.93649291992188,-741.6466674804688
2026-03-31T10:22:02.486948,-111.96891784667969,-741.6595458984375
2026-03-31T10:22:02.494669,-111.98455047607422,-741.6943359375
2026-03-31T10:22:02.504893,-112.10200500488281,-741.7406616210938
2026-03-31T10:22:02.514339,-112.10871887207031,-741.7547607421875
2026-03-31T10:22:02.524247,-112.09667205810547,-741.7294311523438
2026-03-31T10:22:02.534195,-112.0264663696289,-741.6498413085938
2026-03-31T10:22:02.544403,-112.09812927246094,-741.741455078125
2026-03-31T10:22:02.555154,-112.12249755859375,-741.7637939453125
2026-03-31T10:22:02.564910,-112.09165954589844,-741.7373657226562
2026-03-31T10:22:03.011878,-112.08618927001953,-741.7272338867188
2026-03-31T10:22:03.019993,-112.05078887939453,-741.688720703125
2026-03-31T10:22:03.026952,-112.0820083618164,-741.7274780273438
2026-03-31T10:22:03.034618,-112.07128143310547,-741.7139282226562
2026-03-31T10:22:03.045337,-112.10628509521484,-741.7463989257812
2026-03-31T10:22:03.057671,-112.09146118164062,-741.7453002929688
2026-03-31T10:22:03.065657,-112.13499450683594,-741.7772216796875
2026-03-31T10:22:03.075895,-112.04617309570312,-741.6699829101562
2026-03-31T10:22:03.084868,-112.08285522460938,-741.7184448242188
2026-03-31T10:22:03.095461,-112.08184814453125,-741.7261352539062
2026-03-31T10:22:03.107145,-112.06160736083984,-741.6963500976562
2026-03-31T10:22:03.118436,-112.0427474975586,-741.6661987304688
2026-03-31T10:22:03.127487,-112.07241821289062,-741.7083129882812
2026-03-31T10:22:03.140992,-112.04253387451172,-741.6680908203125
2026-03-31T10:22:03.150054,-112.08280181884766,-741.7144165039062
2026-03-31T10:22:03.159891,-112.12753295898438,-741.777099609375
2026-03-31T10:22:03.167990,-112.18508911132812,-741.7139892578125
2026-03-31T10:22:03.177974,-112.0848159790039,-741.7264404296875
2026-03-31T10:22:03.185582,-112.09502410888672,-741.7403564453125
2026-03-31T10:22:03.195995,-111.6579360961914,-741.7677612304688
2026-03-31T10:22:03.204692,-112.01073455810547,-741.7186889648438
2026-03-31T10:22:03.215918,-112.08221435546875,-741.7265014648438
2026-03-31T10:22:03.225485,-112.06716918945312,-741.7117309570312
2026-03-31T10:22:03.238692,-111.93157958984375,-741.6171875
2026-03-31T10:22:03.251003,-111.93804168701172,-741.6241455078125
2026-03-31T10:22:03.261897,-111.96083068847656,-741.6661987304688
2026-03-31T10:22:03.292464,-112.09489440917969,-741.7266845703125
2026-03-31T10:22:03.323918,-111.96591186523438,-741.6616821289062
2026-03-31T10:22:03.335840,-111.90996551513672,-741.5834350585938
2026-03-31T10:22:03.348933,-111.96162414550781,-741.6759033203125
2026-03-31T10:22:03.359988,-112.05557250976562,-741.6852416992188
2026-03-31T10:22:03.368892,-112.02576446533203,-741.6590576171875
2026-03-31T10:22:03.380001,-112.03445434570312,-741.661865234375
2026-03-31T10:22:03.390207,-112.07878112792969,-741.7203979492188
2026-03-31T10:22:03.416236,-112.06293487548828,-741.7105102539062
2026-03-31T10:22:03.426054,-112.02996063232422,-741.6575317382812
2026-03-31T10:22:03.438248,-112.05203247070312,-741.6857299804688
2026-03-31T10:22:03.445647,-112.10758209228516,-741.7566528320312
2026-03-31T10:22:03.478220,-112.05811309814453,-741.6802368164062
2026-03-31T10:22:03.489526,-112.05840301513672,-741.6820678710938
2026-03-31T10:22:03.498432,-112.06684112548828,-741.7044677734375
2026-03-31T10:22:03.512068,-112.06282043457031,-741.6925659179688
2026-03-31T10:22:03.519207,-112.09793090820312,-741.7385864257812
2026-03-31T10:22:03.529462,-112.03441619873047,-741.6719360351562
2026-03-31T10:22:03.537348,-112.0779037475586,-741.7207641601562
2026-03-31T10:22:03.544931,-112.02930450439453,-741.6536254882812
2026-03-31T10:22:03.586901,-112.06412506103516,-741.7062377929688
2026-03-31T10:22:03.596230,-112.0335693359375,-741.6595458984375
2026-03-31T10:22:03.609641,-112.06330871582031,-741.7064208984375
2026-03-31T10:22:03.618844,-112.07160949707031,-741.7177734375
2026-03-31T10:22:03.665685,-112.08092498779297,-741.7301025390625
2026-03-31T10:22:03.675920,-112.06474304199219,-741.7075805664062
2026-03-31T10:22:03.684661,-112.08757019042969,-741.740478515625
2026-03-31T10:22:03.695222,-112.08287048339844,-741.7232055664062
2026-03-31T10:22:03.707760,-112.04401397705078,-741.6713256835938
2026-03-31T10:22:03.745541,-112.04350280761719,-741.677978515625
2026-03-31T10:22:03.754018,-112.07225799560547,-741.7117309570312
