timestamp,x,y
2026-03-31T10:23:38.000432,-111.91541290283203,-742.0232543945312
2026-03-31T10:23:38.004721,-111.912841796875,-742.023681640625
2026-03-31T10:23:38.012477,-111.91305541992188,-742.0289306640625
2026-03-31T10:23:38.020077,-111.86302185058594,-742.0882568359375
2026-03-31T10:23:38.025202,-111.82393646240234,-742.0475463867188
2026-03-31T10:23:38.034509,-111.92105102539062,-742.0518798828125
2026-03-31T10:23:38.054094,-111.88731384277344,-742.0029907226562
2026-03-31T10:23:38.059862,-111.87201690673828,-742.0089721679688
2026-03-31T10:23:38.072445,-111.99266815185547,-742.1082763671875
2026-03-31T10:23:38.078401,-111.87077331542969,-741.9829711914062
2026-03-31T10:23:38.087632,-111.758544921875,-742.2750244140625
2026-03-31T10:23:38.096106,-111.8586196899414,-742.2664184570312
2026-03-31T10:23:38.104872,-111.75772857666016,-742.2769775390625
2026-03-31T10:23:38.115319,-111.83317565917969,-742.2313232421875
2026-03-31T10:23:38.127480,-111.74225616455078,-742.2581176757812
2026-03-31T10:23:38.137811,-111.83220672607422,-742.2333374023438
2026-03-31T10:23:38.144832,-111.82395935058594,-742.2137451171875
2026-03-31T10:23:38.155858,-111.90819549560547,-742.0205688476562
2026-03-31T10:23:38.173781,-111.8629150390625,-742.082763671875
2026-03-31T10:23:38.180460,-111.84317779541016,-742.0463256835938
2026-03-31T10:23:38.187685,-111.82682037353516,-742.03076171875
2026-03-31T10:23:38.196564,-111.88441467285156,-742.1150512695312
2026-03-31T10:23:38.218903,-111.91124725341797,-742.0425415039062
2026-03-31T10:23:38.231987,-111.90325164794922,-742.0214233398438
2026-03-31T10:23:38.252546,-112.0915298461914,-742.1468505859375
2026-03-31T10:23:38.265017,-111.94964599609375,-742.0848999023438
2026-03-31T10:23:38.290562,-111.91539764404297,-742.1527709960938
2026-03-31T10:23:38.298557,-111.91993713378906,-742.1613159179688
2026-03-31T10:23:38.305239,-111.92819213867188,-742.158203125
2026-03-31T10:23:38.316412,-111.93183135986328,-742.162841796875
2026-03-31T10:23:38.324680,-111.98906707763672,-742.1171264648438
2026-03-31T10:23:38.341138,-111.88906860351562,-742.0075073242188
2026-03-31T10:23:38.352887,-111.86404418945312,-742.2659912109375
2026-03-31T10:23:38.363678,-111.76265716552734,-742.2788696289062
2026-03-31T10:23:38.374565,-111.62553405761719,-742.1221923828125
2026-03-31T10:23:38.383874,-111.67987060546875,-742.370361328125
2026-03-31T10:23:38.392785,-111.82437133789062,-742.2210083007812
2026-03-31T10:23:38.401402,-111.7696533203125,-742.276611328125
2026-03-31T10:23:38.423911,-111.8589096069336,-742.2601318359375
2026-03-31T10:23:38.454497,-111.7921142578125,-742.1761474609375
2026-03-31T10:23:38.464606,-111.77366638183594,-742.16748046875
2026-03-31T10:23:38.472597,-111.78260803222656,-742.3051147460938
2026-03-31T10:23:38.478337,-111.77151489257812,-742.161865234375
2026-03-31T10:23:38.486551,-111.6828384399414,-742.1726684570312
2026-03-31T10:23:38.497296,-111.6763916015625,-742.1688842773438
2026-03-31T10:23:38.505292,-111.85595703125,-742.2470703125
2026-03-31T10:23:38.519909,-111.76919555664062,-742.2896118164062
2026-03-31T10:23:38.528758,-111.7790298461914,-742.2922973632812
2026-03-31T10:23:38.535803,-111.8305435180664,-742.2291259765625
2026-03-31T10:23:38.562462,-111.84532165527344,-742.239013671875
2026-03-31T10:23:38.569151,-111.68975067138672,-742.1817016601562
2026-03-31T10:23:38.578307,-111.83611297607422,-742.2262573242188
2026-03-31T10:23:38.586220,-111.81397247314453,-742.2015991210938
2026-03-31T10:23:38.596286,-111.75981903076172,-742.2684936523438
2026-03-31T10:23:38.607748,-111.83623504638672,-742.2236938476562
2026-03-31T10:23:38.616444,-111.8016128540039,-742.2111206054688
2026-03-31T10:23:38.627349,-111.75395202636719,-742.2650146484375
2026-03-31T10:23:38.636552,-111.85602569580078,-742.262451171875
2026-03-31T10:23:38.651302,-111.84510803222656,-742.2584228515625
2026-03-31T10:23:38.665112,-111.68130493164062,-742.1756591796875
2026-03-31T10:23:38.672139,-111.84339141845703,-742.2395629882812
2026-03-31T10:23:38.678805,-111.74275207519531,-742.255859375
2026-03-31T10:23:38.695648,-111.72254943847656,-742.2305908203125
2026-03-31T10:23:38.705577,-111.78321838378906,-742.2954711914062
