timestamp,x,y
2026-03-31T11:33:19.221214,-111.4214859008789,-742.5399780273438
2026-03-31T11:33:19.221357,-111.43093872070312,-742.5526123046875
2026-03-31T11:33:19.222698,-111.37423706054688,-742.5701904296875
2026-03-31T11:33:19.231976,-111.39374542236328,-742.5101928710938
2026-03-31T11:33:19.239775,-111.4323959350586,-742.5635986328125
2026-03-31T11:33:19.247363,-111.39286804199219,-742.508056640625
2026-03-31T11:33:19.253846,-111.37287139892578,-742.5706787109375
2026-03-31T11:33:19.266240,-111.42610168457031,-742.5548095703125
2026-03-31T11:33:19.276443,-111.38887023925781,-742.5938110351562
2026-03-31T11:33:19.284828,-111.41911315917969,-742.5447998046875
2026-03-31T11:33:19.295732,-111.41373443603516,-742.5488891601562
2026-03-31T11:33:19.304249,-111.42927551269531,-742.5559692382812
2026-03-31T11:33:19.317075,-111.37747192382812,-742.5741577148438
2026-03-31T11:33:19.325677,-111.40833282470703,-742.5281982421875
2026-03-31T11:33:19.334111,-111.42901611328125,-742.5501098632812
2026-03-31T11:33:19.345044,-111.40545654296875,-742.52392578125
2026-03-31T11:33:19.355097,-111.40078735351562,-742.525146484375
2026-03-31T11:33:19.365739,-111.4429702758789,-742.5757446289062
2026-03-31T11:33:19.374964,-111.3971176147461,-742.5157470703125
2026-03-31T11:33:19.384948,-111.4231185913086,-742.545654296875
2026-03-31T11:33:19.396108,-111.3094482421875,-742.4786376953125
2026-03-31T11:33:19.404169,-111.40599822998047,-742.5202026367188
2026-03-31T11:33:19.415150,-111.30429077148438,-742.462646484375
2026-03-31T11:33:19.425228,-111.34464263916016,-742.4502563476562
2026-03-31T11:33:19.434861,-111.4571533203125,-742.5820922851562
2026-03-31T11:33:19.446227,-111.4300537109375,-742.5562133789062
2026-03-31T11:33:19.455597,-111.3420181274414,-742.518310546875
2026-03-31T11:33:19.464051,-111.37643432617188,-742.5745849609375
2026-03-31T11:33:19.476206,-111.39193725585938,-742.5165405273438
