timestamp,dB_SPL,-90.0,-87.0,-84.0,-81.0,-78.0,-75.0,-72.0,-69.0,-66.0,-63.0,-60.0,-57.0,-54.0,-51.0,-48.0,-45.0,-42.0,-39.0,-36.0,-33.0,-30.0,-27.0,-24.0,-21.0,-18.0,-15.0,-12.0,-9.0,-6.0,-3.0,0.0,3.0,6.0,9.0,12.0,15.0,18.0,21.0,24.0,27.0,30.0,33.0,36.0,39.0,42.0,45.0,48.0,51.0,54.0,57.0,60.0,63.0,66.0,69.0,72.0,75.0,78.0,81.0,84.0,87.0,90.0,angle,sample_index,time_seconds,left_volume,right_volume
2026-04-02 10:25:32.082201,[82.79320167],8.608377901573408e-08,8.630363715288575e-08,8.695791353995958e-08,8.803063366224087e-08,8.949509225515586e-08,9.131436616862627e-08,9.344322409759245e-08,9.583243180225985e-08,9.843643810576688e-08,1.0122517600228123e-07,1.042002019007531e-07,1.0741466485227924e-07,1.109957713615902e-07,1.1516769108320798e-07,1.202724566752474e-07,1.2678648698273538e-07,1.353308381132356e-07,1.466738022141623e-07,1.617244229869971e-07,1.8151426749742453e-07,2.0716218667608145e-07,2.398134854408016e-07,2.805426835765438e-07,3.302104663132376e-07,3.892729344298385e-07,4.575557109677232e-07,5.340247525628557e-07,6.166043797261025e-07,7.021033444162508e-07,7.863043627786674e-07,8.642479356002335e-07,9.307003926677195e-07,9.80748699754612e-07,1.0104247121966268e-06,1.017242772130888e-06,1.0005446303502957e-06,9.61583393505408e-07,9.033333783357678e-07,8.300698202442355e-07,7.468058311437517e-07,6.586935307636974e-07,5.704895984842391e-07,4.861580181879856e-07,4.086447461844934e-07,3.398215174768671e-07,2.8056756034798164e-07,2.3094277762344867e-07,1.9040374888159682e-07,1.580214017713377e-07,1.326718148928569e-07,1.131850965377788e-07,9.844866235639e-08,8.746908546558467e-08,7.940088780627483e-08,7.355186750389515e-08,6.937382064342162e-08,6.644578467631966e-08,6.445494037015239e-08,6.317851353820249e-08,6.246862610705495e-08,6.22410968540599e-08,30.07433515936133,2301908,11.989104,0.459881,0.760119
2026-04-02 10:25:32.151621,[72.72167654],8.887265815218389e-09,8.906702661754472e-09,8.964628096202937e-09,9.059858078445309e-09,9.190329388669706e-09,9.352985613174084e-09,9.543658567448264e-09,9.756984416057582e-09,9.986400371470004e-09,1.0224268075488333e-08,1.0462160197415765e-08,1.0691324716634943e-08,1.0903306382732191e-08,1.1090660607138196e-08,1.1247650440428123e-08,1.137078619270637e-08,1.1459065803442014e-08,1.1513815365976351e-08,1.1538116316622742e-08,1.1535925434627573e-08,1.1511114293238293e-08,1.146673145056288e-08,1.1404779564348988e-08,1.1326676984562374e-08,1.1234353246721153e-08,1.1131668707707472e-08,1.1025641566678896e-08,1.0926904488333576e-08,1.0848954713134052e-08,1.0806093089713234e-08,1.0810378369739283e-08,1.0868309808497454e-08,1.0978148522774992e-08,1.112870777387596e-08,1.1300092030703278e-08,1.1466349768996841e-08,1.1599490589049154e-08,1.1673966237827752e-08,1.1670628915814102e-08,1.1579366650586232e-08,1.1399994503854064e-08,1.1141421484465e-08,1.0819485761351189e-08,1.0454066793569606e-08,1.0066116087797908e-08,9.675129220915749e-09,9.297375713424812e-09,8.944982040741492e-09,8.625782488897066e-09,8.343741910329885e-09,8.099716557216131e-09,7.892338452128911e-09,7.718861543519512e-09,7.575871366700498e-09,7.459817420848244e-09,7.367370082452968e-09,7.295629447616166e-09,7.242224309862686e-09,7.205339841954445e-09,7.183706936560782e-09,7.176578139343771e-09,30.07433515936133,2318906,12.077635,0.450619,0.769381
2026-04-02 10:25:32.316760,[85.45527237],1.478345319588087e-07,1.482150159796293e-07,1.493490274904044e-07,1.5121415288141117e-07,1.5377300237036546e-07,1.569740725043696e-07,1.6075462734004353e-07,1.650469089273968e-07,1.6978884384007775e-07,1.749399243004993e-07,1.8050215248646773e-07,1.865450147376941e-07,1.932327031353325e-07,2.0085160042860077e-07,2.098366765324727e-07,2.2079686867299167e-07,2.3454112689606005e-07,2.52107352898817e-07,2.74794304957078e-07,3.0419035262058735e-07,3.421827537484887e-07,3.909192486266469e-07,4.526852524740048e-07,5.296615271717732e-07,6.235449198881401e-07,7.350503789703256e-07,8.633606292990663e-07,1.0056373357214186e-06,1.1567359746131832e-06,1.3092588921015066e-06,1.4540290518817793e-06,1.58097739749022e-06,1.680331489361773e-06,1.743903376740881e-06,1.766230351625798e-06,1.7453403629791088e-06,1.6829917251123549e-06,1.5843523441282937e-06,1.4572036253132562e-06,1.310845583823853e-06,1.1549208664202823e-06,9.983619035668597e-07,8.486089157383604e-07,7.111685584194102e-07,5.895066783631523e-07,4.852114479259204e-07,3.983332796399506e-07,3.278045456173201e-07,2.718581451187493e-07,2.283898704110154e-07,1.9523666131491058e-07,1.7036531395104724e-07,1.519813303601133e-07,1.385753045727801e-07,1.2892607210008504e-07,1.220779164233478e-07,1.1730539466000675e-07,1.1407526862964929e-07,1.120114697808582e-07,1.1086635472574772e-07,1.104997562142036e-07,30.262808929206585,2346549,12.221609,0.434274,0.785726
2026-04-02 10:25:32.365420,[65.75272839],2.3018736127028844e-09,2.308279366987013e-09,2.327485872351633e-09,2.359449610046416e-09,2.404061421296417e-09,2.4610947902673235e-09,2.530140618660184e-09,2.610537217307539e-09,2.701308511487151e-09,2.8011282415014112e-09,2.908332358918618e-09,3.021004385736501e-09,3.1371571671745756e-09,3.2550268617958436e-09,3.373479112738379e-09,3.4925022541877156e-09,3.6137295336500398e-09,3.74089634654842e-09,3.8801077193627516e-09,4.039776993974417e-09,4.2301107673767215e-09,4.4620664626575725e-09,4.745798755481828e-09,5.0887294960084895e-09,5.493500341930669e-09,5.9561661142377575e-09,6.465025850055656e-09,7.000442040640163e-09,7.535859959315799e-09,8.040027067519534e-09,8.480170357644996e-09,8.825674984758153e-09,9.051677160090547e-09,9.141975808467514e-09,9.090787408755234e-09,8.903088944452126e-09,8.593560901833125e-09,8.184391586153134e-09,7.702380095529882e-09,7.175845880491159e-09,6.631815420178016e-09,6.0938351635502344e-09,5.580594583705562e-09,5.105376867576726e-09,4.6762216500012204e-09,4.296603257037889e-09,3.966401886389613e-09,3.682964139712557e-09,3.4420967091058467e-09,3.2388953071921433e-09,3.0683659855796712e-09,2.925839069126897e-09,2.807203719650886e-09,2.709004468654792e-09,2.6284431766094704e-09,2.563324845735258e-09,2.5119772621126222e-09,2.47316537460018e-09,2.4460133669579062e-09,2.4299413505578804e-09,2.4246196343726013e-09,30.2853046673122,2359707,12.290141,0.426067,0.793933
2026-04-02 10:25:32.516340,[86.6242311],1.861020222383038e-07,1.866054907607976e-07,1.8810647328084333e-07,1.905762938057795e-07,1.9396612681686294e-07,1.982065364873643e-07,2.032088368735033e-07,2.0886987826708746e-07,2.1508176243441866e-07,2.217475340494967e-07,2.2880315971415678e-07,2.362453053686099e-07,2.441639088872217e-07,2.527787049357514e-07,2.624799054107973e-07,2.738749130280772e-07,2.878442624333825e-07,3.0560920613886965e-07,3.2880843185783925e-07,3.595709126271003e-07,4.005564753177212e-07,4.549191807288414e-07,5.261383396374238e-07,6.176671433794932e-07,7.32377062409364e-07,8.718287559550925e-07,1.0354686668945853e-06,1.2199156706464105e-06,1.4185388421356942e-06,1.6215129395552132e-06,1.8164628727745448e-06,1.989682819991772e-06,2.1277707918342468e-06,2.2193981767779054e-06,2.2568760895515467e-06,2.2372081199525587e-06,2.162427301058356e-06,2.0391730171227285e-06,1.877625676285794e-06,1.6900391427621476e-06,1.4891647832417169e-06,1.2868412998756882e-06,1.0929476069954097e-06,9.14811091127054e-07,7.570615556244996e-07,6.218451311724759e-07,5.092731144125097e-07,4.179766635187916e-07,3.456599114363795e-07,2.895786397765535e-07,2.469077061502942e-07,2.149901657896148e-07,1.914809776201482e-07,1.7440831249754589e-07,1.621778508638153e-07,1.5354287519028877e-07,1.475580276575857e-07,1.4352922817173878e-07,1.409675628409707e-07,1.39551437627284e-07,1.390989870346969e-07,30.39737372723565,2389270,12.444115,0.407017,0.812983
2026-04-02 10:25:32.564537,[67.89003049],3.6398698342244445e-09,3.6549177867288406e-09,3.700141565644842e-09,3.775742580574003e-09,3.881929480553963e-09,4.018731135920046e-09,4.185744234050923e-09,4.381830055992744e-09,4.604785534713202e-09,4.851027135335746e-09,5.1153408041226095e-09,5.390764148815251e-09,5.668673706698797e-09,5.939145319530911e-09,6.191634164267006e-09,6.415979653040842e-09,6.603679846736874e-09,6.749306513045254e-09,6.851858280905082e-09,6.9157938371567274e-09,6.951470465286216e-09,6.9747531052214886e-09,7.0056636428812625e-09,7.066102127198704e-09,7.1768658515729995e-09,7.354377883785111e-09,7.607665417448722e-09,7.9361573464873e-09,8.328776218910281e-09,8.764588688478763e-09,9.214989976481308e-09,9.647096176840789e-09,1.0027776650183111e-08,1.032763804586266e-08,1.0524301535529188e-08,1.0604485174984632e-08,1.0564666477522447e-08,1.0410386901209533e-08,1.015450011422247e-08,9.814809278247371e-09,9.41156653171078e-09,8.965234221388813e-09,8.494769327626931e-09,8.016535586410452e-09,7.543811818532006e-09,7.0867744351735875e-09,6.652793595061628e-09,6.2468880240284035e-09,5.872216999743587e-09,5.530532143367363e-09,5.2225528220929085e-09,4.948259390449355e-09,4.707116043308493e-09,4.4982415127313635e-09,4.320544860287655e-09,4.172838980006504e-09,4.053939040265703e-09,3.962748650991961e-09,3.89833367098427e-09,3.859982184209125e-09,3.847248857512329e-09,30.430318052369056,2394296,12.470292,0.403732,0.816268
2026-04-02 10:25:32.709905,[81.78518566],5.69720587186304e-08,5.7139934609305295e-08,5.764095640526471e-08,5.846706036204472e-08,5.960407772068314e-08,6.103094913167586e-08,6.271920121445685e-08,6.463316832639576e-08,6.673145308364358e-08,6.897005641278006e-08,7.130749822738967e-08,7.37121541237885e-08,7.617203836082467e-08,7.87074451161756e-08,8.13872181354008e-08,8.434979366986918e-08,8.783017505911537e-08,9.219307931017628e-08,9.797005611665661e-08,1.0589414275982527e-07,1.1692005070037147e-07,1.3221251972947205e-07,1.530829040758846e-07,1.808572823451789e-07,2.1667063705130918e-07,2.61200885752295e-07,3.143803392516007e-07,3.751437340906699e-07,4.412828319563831e-07,5.094704774388333e-07,5.754893927318551e-07,6.346571721686563e-07,6.823898561874479e-07,7.148065908096484e-07,7.292602549594544e-07,7.246902559978289e-07,7.017315682230249e-07,6.62567742372291e-07,6.105697136308971e-07,5.498022490696454e-07,4.844967487928761e-07,4.185815400019689e-07,3.553345217040117e-07,2.971878736558949e-07,2.456807458150472e-07,2.015309205516893e-07,1.6478375668121496e-07,1.3499567738873213e-07,1.1141679836125945e-07,9.314879219888558e-08,7.926598326637788e-08,6.889743887029292e-08,6.127435008471524e-08,5.575029397626194e-08,5.180272783862738e-08,4.9023209515013296e-08,4.7102216577412086e-08,4.58126749203295e-08,4.4994772103988766e-08,4.454347801055781e-08,4.4399438019344525e-08,30.515653824014557,2422532,12.617354,0.385306,0.834694
2026-04-02 10:25:32.910969,[83.02258911],7.45158479963437e-08,7.473144240351449e-08,7.537446443102805e-08,7.643327107185143e-08,7.788737867622765e-08,7.970624920341626e-08,8.184834911972939e-08,8.426112236693317e-08,8.688254376694907e-08,8.964485601094107e-08,9.248097853924516e-08,9.533399064244493e-08,9.817014498872945e-08,1.0099615360207476e-07,1.0388199013025493e-07,1.069909371973211e-07,1.1061855105453305e-07,1.1524084231935225e-07,1.21568492957288e-07,1.3059800016269342e-07,1.4364292805629989e-07,1.6232108339847786e-07,1.8846994067304146e-07,2.2396711835051027e-07,2.704481641180191e-07,3.289402609847229e-07,3.9946304775639713e-07,4.806773388089746e-07,5.696775688037235e-07,6.620144457992434e-07,7.519970295121129e-07,8.332640232800572e-07,8.995472365664507e-07,9.454955498790626e-07,9.674030406330558e-07,9.636994343430406e-07,9.351117058490752e-07,8.844780556413283e-07,8.162689512102876e-07,7.359247305527219e-07,6.491429897076369e-07,5.612396158995782e-07,4.7667243748943707e-07,3.987692286325076e-07,3.296560244742987e-07,2.703476364801186e-07,2.209446031957155e-07,1.8087889779186186e-07,1.4916024707710034e-07,1.2459024797522138e-07,1.0592749952972072e-07,9.200024718870639e-08,8.177199485720383e-08,7.437014877207649e-08,6.908891212633637e-08,6.53765824151992e-08,6.28152622418667e-08,6.109862937160235e-08,6.001133157484917e-08,5.941199721146946e-08,5.9220809284476876e-08,30.657994057960988,2462740,12.826771,0.360081,0.859919
2026-04-02 10:25:33.117624,[84.22107199],9.15023399031299e-08,9.178222503472505e-08,9.261759579457777e-08,9.399497252300501e-08,9.588993727014057e-08,9.826466345356785e-08,1.0106533039881841e-07,1.0422019951385236e-07,1.0763922386000869e-07,1.1121609698598032e-07,1.1483366508667217e-07,1.1837371401731455e-07,1.217324024850841e-07,1.2484310222639457e-07,1.277090308300951e-07,1.3044845637308404e-07,1.333547078085085e-07,1.3697077526992266e-07,1.4217302925099258e-07,1.5025026973169079e-07,1.6295401869894065e-07,1.8248660923297413e-07,2.1138980969427687e-07,2.5230362145677645e-07,3.075861213599462e-07,3.788203383992529e-07,4.662768418556677e-07,5.684389606349326e-07,6.817165287674291e-07,8.004613285619648e-07,9.173486925516076e-07,1.0241126255935412e-06,1.1125353263727584e-06,1.1755212346008684e-06,1.2080533921434616e-06,1.2078478175122148e-06,1.175586001231092e-06,1.1146982658073692e-06,1.0307652802560792e-06,9.306762376518872e-07,8.217140099875413e-07,7.10727095605885e-07,6.035046768016102e-07,5.044112188165788e-07,4.162783364333669e-07,3.405073789229767e-07,2.773125957930049e-07,2.260312717804101e-07,1.8543860008853408e-07,1.540241959779305e-07,1.3020752852453953e-07,1.1248667360934323e-07,9.952654772313085e-08,9.019901914323125e-08,8.358907420322959e-08,7.898007313938795e-08,7.582852032530593e-08,7.373579876302897e-08,7.24216525870226e-08,7.170215120325215e-08,7.14734868166704e-08,30.772069840076423,2502355,13.033099,0.337908,0.882092
2026-04-02 10:25:33.324149,[86.37109541],1.4294647666124677e-07,1.4340794547325845e-07,1.4478684221155958e-07,1.4706546639773914e-07,1.5021060014905493e-07,1.5416857558249434e-07,1.5885960786458425e-07,1.6417252727618986e-07,1.699612401308079e-07,1.7604441024124906e-07,1.8221006342977457e-07,1.8822721199246965e-07,1.9386731396395922e-07,1.989394578104256e-07,2.0334435274341358e-07,2.0715280145676505e-07,2.107130829295821e-07,2.147869542927232e-07,2.2070436939691933e-07,2.305122579954757e-07,2.470748674240964e-07,2.740673459162677e-07,3.157982679423966e-07,3.768092399535417e-07,4.612363566638859e-07,5.71977959157473e-07,7.097849538897974e-07,8.724536475609726e-07,1.0543320218193108e-06,1.2463282790205052e-06,1.436528710820155e-06,1.6114035501392445e-06,1.7574362232834468e-06,1.86289484594824e-06,1.919412093966938e-06,1.923069811167574e-06,1.8747912760332657e-06,1.7799965818371016e-06,1.647631754442202e-06,1.488798723717389e-06,1.3152649458182433e-06,1.1381138819069815e-06,9.667261259563315e-07,8.081830180024124e-07,6.670887940867954e-07,5.457352647349842e-07,4.444947760713914e-07,3.623217481355839e-07,2.972617555706044e-07,2.468983151769269e-07,2.0870067825298162e-07,1.8026370882462046e-07,1.5944995141571233e-07,1.4445404023804036e-07,1.3381242609098157e-07,1.26379496396649e-07,1.2128690689509285e-07,1.1789811398710165e-07,1.1576578180709487e-07,1.1459642943269553e-07,1.1422446074418143e-07,30.924592524521888,2542563,13.242516,0.319655,0.900345
2026-04-02 10:25:33.373879,[65.08882503],3.9500194373865605e-09,3.962660167236851e-09,4.000459535053651e-09,4.063024766644342e-09,4.149622696796567e-09,4.259070963458742e-09,4.389604631093379e-09,4.538738908183871e-09,4.703155777888975e-09,4.8786484664829375e-09,5.060160608786796e-09,5.2419540826554934e-09,5.4179282114144485e-09,5.582091866205759e-09,5.7291596573536795e-09,5.855207834106357e-09,5.958292206932391e-09,6.0389094751120044e-09,6.100185072774153e-09,6.1477018462044925e-09,6.1889440285049e-09,6.2324098562876e-09,6.286524566591111e-09,6.358539909892096e-09,6.453616746937745e-09,6.574245718698491e-09,6.7200765207574774e-09,6.888124270481931e-09,7.0732352368603315e-09,7.268652772988637e-09,7.466540255746414e-09,7.65838171327397e-09,7.835264580045615e-09,7.9881177272267e-09,8.108004341287314e-09,8.186544798061279e-09,8.216482002089538e-09,8.192327892265891e-09,8.110974549095471e-09,7.972136736955238e-09,7.778518883178869e-09,7.535657100779067e-09,7.251455524695865e-09,6.9354950944345125e-09,6.5982276301613605e-09,6.250173945111086e-09,5.901225988900367e-09,5.560119186724564e-09,5.234103041369499e-09,4.928804510186166e-09,4.64825483843931e-09,4.395037897136354e-09,4.170515333743254e-09,3.975088205094881e-09,3.808463093237543e-09,3.6699003096594235e-09,3.558430762931741e-09,3.473035316131464e-09,3.412785587389605e-09,3.3769482047241334e-09,3.365055827307354e-09,30.950078946756197,2552615,13.29487,0.315914,0.904086
