timestamp,dB_SPL,-90.0,-87.0,-84.0,-81.0,-78.0,-75.0,-72.0,-69.0,-66.0,-63.0,-60.0,-57.0,-54.0,-51.0,-48.0,-45.0,-42.0,-39.0,-36.0,-33.0,-30.0,-27.0,-24.0,-21.0,-18.0,-15.0,-12.0,-9.0,-6.0,-3.0,0.0,3.0,6.0,9.0,12.0,15.0,18.0,21.0,24.0,27.0,30.0,33.0,36.0,39.0,42.0,45.0,48.0,51.0,54.0,57.0,60.0,63.0,66.0,69.0,72.0,75.0,78.0,81.0,84.0,87.0,90.0,angle,x1,y1,x2,y2,robot_x,robot_y,sample_index,time_seconds,left_volume,right_volume
2026-03-31 11:12:22.436752,[89.94300336],9.42000332726142e-08,9.434125015904608e-08,9.476530965097188e-08,9.547383243609361e-08,9.647102725334621e-08,9.776664000651161e-08,9.938148882956165e-08,1.013570428632771e-07,1.037709353400613e-07,1.067606365002652e-07,1.1055759033089352e-07,1.155336946653589e-07,1.2226074658674718e-07,1.31581014401946e-07,1.4468313042880926e-07,1.6317197120437317e-07,1.891145438991436e-07,2.250373148873589e-07,2.73845966383202e-07,3.386390649096696e-07,4.223955724638812e-07,5.275346775605354e-07,6.553750106449439e-07,8.055554210193797e-07,9.755136563287146e-07,1.1601419524284742e-06,1.3517386477963618e-06,1.5403447518244745e-06,1.7144934849276903e-06,1.8623184297849672e-06,1.972880361101084e-06,2.0375070393181174e-06,2.0509149841759087e-06,2.011908660380993e-06,1.9235275064993928e-06,1.7926174134693644e-06,1.6289139205824771e-06,1.4438118969766311e-06,1.2490407347452645e-06,1.055458171159989e-06,8.72126855445096e-07,7.057630105908099e-07,5.605671542586168e-07,4.38381238610525e-07,3.390759518465796e-07,2.610589376141268e-07,2.018048549574991e-07,1.583329953278844e-07,1.2758832955233493e-07,1.0670986264789785e-07,9.319147586596729e-08,8.495346931700552e-08,8.034847164628889e-08,7.812518198594235e-08,7.736981217592508e-08,7.744008247647865e-08,7.790160315153489e-08,7.847225756861783e-08,7.897711082749766e-08,7.931439689586503e-08,7.943210931975143e-08,30.39208906310863,-412.2367374694232,497.9821019381921,254.9603495240443,474.98276320966704,-110.7676239013672,-741.9721069335938,919165,4.787318,0.6,1.0
2026-03-31 11:12:22.644365,[67.87884807],3.938012926058866e-09,3.947829154094684e-09,3.977607335873139e-09,4.028344422814596e-09,4.101729178833839e-09,4.200179284339025e-09,4.326885588325701e-09,4.485855006514546e-09,4.6819400952720955e-09,4.9208392757668844e-09,5.209047119486315e-09,5.553729272693705e-09,5.962492005688445e-09,6.443013005942119e-09,7.002499607814518e-09,7.646945842053447e-09,8.380174120073022e-09,9.202675056884017e-09,1.0110302902699878e-08,1.109294404542244e-08,1.2133345809092096e-08,1.3206357945117432e-08,1.4278877458853809e-08,1.5310772333513337e-08,1.6256969021879273e-08,1.707071506052939e-08,1.7707789601014376e-08,1.813117751939272e-08,1.8315515343778417e-08,1.8250531365075543e-08,1.7942788216836523e-08,1.7415299732489727e-08,1.6704986216534724e-08,1.5858359219162368e-08,1.4926176452872042e-08,1.395798622755354e-08,1.2997445199305245e-08,1.2079063288872904e-08,1.1226679502271336e-08,1.0453602921287711e-08,9.764057745928462e-09,9.155408608253224e-09,8.620624650192116e-09,8.150539394036749e-09,7.735626102129274e-09,7.367180207227013e-09,7.037939942349035e-09,6.742262814675899e-09,6.476008196649996e-09,6.236267526952149e-09,6.0210511566648154e-09,5.829001137444514e-09,5.659163626989777e-09,5.510828683026355e-09,5.383429944921217e-09,5.2764901675838526e-09,5.189597837476754e-09,5.122402391356841e-09,5.0746188452965775e-09,5.046035740865898e-09,5.036522725620812e-09,30.4900682257364,-412.2367374694232,497.9821019381921,254.9603495240443,474.98276320966704,-110.62115478515624,-737.8335571289062,962479,5.012911,0.6,1.0
2026-03-31 11:12:22.857616,[69.44590408],5.644999092708156e-09,5.664942996232317e-09,5.725180446968599e-09,5.826928345593365e-09,5.972213949155255e-09,6.163874068854878e-09,6.405555091178593e-09,6.701714795646341e-09,7.0576264404048375e-09,7.479383595492711e-09,7.973899526229343e-09,8.548886186423315e-09,9.212783963748348e-09,9.974594181158753e-09,1.0843544096640765e-08,1.1828494114900451e-08,1.293698836045578e-08,1.4173865139132126e-08,1.5539396225625978e-08,1.7027022109460266e-08,1.8620892086174184e-08,2.029358388304436e-08,2.2004527795389172e-08,2.3699739749700348e-08,2.5313418562044537e-08,2.677174578984693e-08,2.7998844204594924e-08,2.8924361597428356e-08,2.9491662774220372e-08,2.966527558509045e-08,2.94361737747016e-08,2.882375521088581e-08,2.7873957753208188e-08,2.6653717327985167e-08,2.5242719552734522e-08,2.372392876666368e-08,2.2174558024950613e-08,2.0658936564235784e-08,1.9224215308563127e-08,1.7899184399199342e-08,1.6695842190835582e-08,1.561290193723904e-08,1.4640227290162517e-08,1.3763245523805738e-08,1.2966628720356568e-08,1.223685828214298e-08,1.1563601839683494e-08,1.0940067646455786e-08,1.0362631822422544e-08,9.830064038226191e-09,9.342634492982951e-09,8.901303703257891e-09,8.507107320321597e-09,8.160771837506008e-09,7.862543644550911e-09,7.612184562476392e-09,7.409077391634764e-09,7.252388557482747e-09,7.141245247932871e-09,7.0748965803110564e-09,7.052839263303922e-09,30.65243142296998,-412.2367374694232,497.9821019381921,254.9603495240443,474.98276320966704,-110.31898498535156,-731.0335083007812,999581,5.206151,0.6,1.0
2026-03-31 11:12:22.910925,[65.07915137],2.943093746233189e-09,2.952530229113029e-09,2.9808538657834904e-09,3.02809799458018e-09,3.094287602845516e-09,3.1793941545542143e-09,3.28327400852251e-09,3.4055927197511846e-09,3.5457390395982446e-09,3.70273449866249e-09,3.875146994656986e-09,4.061019537282076e-09,4.257827673394394e-09,4.462480293808279e-09,4.671377481657298e-09,4.880534830366034e-09,5.0857757200075564e-09,5.282981797919715e-09,5.468379037433461e-09,5.638825179234034e-09,5.7920577010401855e-09,5.9268628366303915e-09,6.043136780754005e-09,6.141828266849552e-09,6.224772327679157e-09,6.294441745385776e-09,6.353649957124046e-09,6.405235275232721e-09,6.451744726296675e-09,6.495124365886332e-09,6.536420040294203e-09,6.575502764108863e-09,6.610853389438307e-09,6.639462020354529e-09,6.6569053507624075e-09,6.657649536156953e-09,6.6355858962741595e-09,6.584751060495313e-09,6.500129411345097e-09,6.378402410061081e-09,6.218509013755038e-09,6.021915374287809e-09,5.792550590496127e-09,5.536431558826221e-09,5.261056163057594e-09,4.974677325907849e-09,4.6855761177151004e-09,4.401433562226741e-09,4.128866840433131e-09,3.873156889212841e-09,3.6381600428826003e-09,3.426372056191507e-09,3.239100414110901e-09,3.0766990210270284e-09,2.938825126787146e-09,2.8246881577486036e-09,2.733270898080255e-09,2.663513057623926e-09,2.614454516527118e-09,2.5853401259978533e-09,2.5756900872276413e-09,30.6846770807957,-412.2367374694232,497.9821019381921,254.9603495240443,474.98276320966704,-110.23094177246094,-729.69189453125,1009633,5.258505,0.6,1.0
2026-03-31 11:12:23.011718,[69.97956471],3.361676217072135e-09,3.379281099154228e-09,3.4324776723367843e-09,3.5224143112344223e-09,3.651011896131325e-09,3.820967892878282e-09,4.0357486048818444e-09,4.299554623264762e-09,4.617239285531319e-09,4.994156135841792e-09,5.435911355146997e-09,5.9480038801697495e-09,6.5353521856404085e-09,7.201733509478494e-09,7.949196217626283e-09,8.777541562189432e-09,9.683994485948732e-09,1.0663178338529082e-08,1.170746127497026e-08,1.2807648127909597e-08,1.395386341655984e-08,1.5136342871659868e-08,1.6345773469866897e-08,1.7572848974466542e-08,1.8806872437287724e-08,2.0033528334922738e-08,2.1232298282519783e-08,2.237429213087724e-08,2.342138428089768e-08,2.432739341918504e-08,2.5041615327693525e-08,2.5514408107498143e-08,2.5703914063708295e-08,2.5582583274979328e-08,2.5142090489786042e-08,2.4395549439036705e-08,2.3376539015652693e-08,2.2135180081974635e-08,2.0732127658679823e-08,1.9231704858973612e-08,1.7695433408194154e-08,1.6176949800700113e-08,1.4718853674642642e-08,1.3351561198824811e-08,1.2093854171345203e-08,1.0954594180257542e-08,9.935019238147481e-09,9.03112034606453e-09,8.235748226036545e-09,7.540268150789733e-09,6.935722003997939e-09,6.4135514474790774e-09,5.965982851905272e-09,5.5861835232661506e-09,5.268284097575833e-09,5.0073371209221825e-09,4.7992563545493845e-09,4.640760520068059e-09,4.529330807787821e-09,4.4631830887241606e-09,4.44125197547089e-09,30.744849607355928,-412.2367374694232,497.9821019381921,254.9603495240443,474.98276320966704,-110.24102020263672,-727.1924438476562,1029737,5.363214,0.6,1.0
2026-03-31 11:12:23.061545,[87.78462527],5.34454151140205e-08,5.3523160164153854e-08,5.375482303556021e-08,5.4135722413422236e-08,5.465827502434433e-08,5.5312682726079526e-08,5.608863488121804e-08,5.697881233315729e-08,5.7985246253375134e-08,5.9129835293742514e-08,6.047048680677027e-08,6.21242985490639e-08,6.42987519496801e-08,6.733081341679147e-08,7.173190090323594e-08,7.823372835464216e-08,8.782619298449165e-08,1.0177423901287313e-07,1.2159708875573386e-07,1.489919978547642e-07,1.8568767758871946e-07,2.3322136504195534e-07,2.926487330737268e-07,3.642159726903165e-07,4.470445507846498e-07,5.388952955451892e-07,6.36082743937553e-07,7.33597718325277e-07,8.254644750088564e-07,9.053127920677392e-07,9.6709502426409e-07,1.0058368535871998e-06,1.0182909874430172e-06,1.0033730956798862e-06,9.622983049134345e-07,8.983954330135276e-07,8.166397427588597e-07,7.22997066776889e-07,6.237004145503235e-07,5.245797978959226e-07,4.3054039819918483e-07,3.452429402260992e-07,2.709953231852466e-07,2.088269217194424e-07,1.5869319751519085e-07,1.1975012191786985e-07,9.064301707332093e-08,6.976799665278577e-08,5.54809635087596e-08,4.624480450728703e-08,4.0717395131800646e-08,3.779037451697052e-08,3.6591746440230425e-08,3.646528218292309e-08,3.6937715539633535e-08,3.7681939127275664e-08,3.8481625172305086e-08,3.9200355616259526e-08,3.975663410481141e-08,4.010506310341008e-08,4.0223403935562636e-08,30.78433943829936,-412.2367374694232,497.9821019381921,254.9603495240443,474.98276320966704,-110.10003662109376,-725.56005859375,1042895,5.431745,0.6,1.0
2026-03-31 11:12:23.283291,[88.94051739],7.473111938420095e-08,7.484045073896359e-08,7.517005116836657e-08,7.572517752351786e-08,7.65161992880893e-08,7.756153567526505e-08,7.889282807531854e-08,8.056341888283888e-08,8.266149000678045e-08,8.532940456384727e-08,8.879078099288932e-08,9.33864383770184e-08,9.96193561294674e-08,1.0820693333067573e-07,1.201359008292831e-07,1.3671119432362482e-07,1.5958525243617937e-07,1.9074941362472986e-07,2.3246585725042346e-07,2.871189488505114e-07,3.569711674181913e-07,4.438226885576066e-07,5.485952356366276e-07,6.708874639525385e-07,8.085753457338128e-07,9.57548768313098e-07,1.1116762840704984e-06,1.263067482605776e-06,1.4026561068275168e-06,1.5210635882907258e-06,1.6096360232496364e-06,1.661495549463672e-06,1.672425966192953e-06,1.6414314355591348e-06,1.5708643490928626e-06,1.4661008107680395e-06,1.334829029507894e-06,1.186085501543449e-06,1.0292101099502994e-06,8.728882572794715e-07,7.244109665410137e-07,5.89225841478096e-07,4.7078939579251814e-07,3.706791269245877e-07,2.888908789502418e-07,2.242358668127925e-07,1.7475892571470308e-07,1.381185302589037e-07,1.1189264049567086e-07,9.379651848327269e-08,8.181564933548171e-08,7.426746779908225e-08,6.981019470162872e-08,6.741718956453442e-08,6.633257835221502e-08,6.602007344589849e-08,6.611298973528978e-08,6.63701329532595e-08,6.66397662898966e-08,6.68322616571056e-08,6.690118428837675e-08,30.927594616546862,-412.2367374694232,497.9821019381921,254.9603495240443,474.98276320966704,-109.8978271484375,-719.666748046875,1085023,5.651161,0.6,1.0
2026-03-31 11:12:23.443681,[90.09824803],9.46419103476061e-08,9.478496421434377e-08,9.5215347710029e-08,9.593720978494097e-08,9.69592743959072e-08,9.82982536972605e-08,9.998504230342361e-08,1.0207512656931865e-07,1.0466502293901729e-07,1.0791681342209357e-07,1.1209282214471555e-07,1.1760194817290245e-07,1.2505784283173253e-07,1.3534667638778676e-07,1.4969843289867993e-07,1.6975049058876585e-07,1.9758612566281973e-07,2.3572462768824158e-07,2.8703583478499216e-07,3.545526608346426e-07,4.4116334285952686e-07,5.491826722212574e-07,6.798283751248891e-07,8.326618918453858e-07,1.0050851973390613e-06,1.1920071840977603e-06,1.3857940146549424e-06,1.576590175963303e-06,1.7530398413832858e-06,1.9033597892734328e-06,2.016632483244367e-06,2.0841228231716648e-06,2.100394760394552e-06,2.064026038630761e-06,1.977788930458158e-06,1.8482662415052933e-06,1.6849798206509336e-06,1.4991964383761269e-06,1.3026228915721275e-06,1.1062006280037702e-06,9.191657389758252e-07,7.48468908394198e-07,5.985722173349879e-07,4.7157389070295403e-07,3.675697941232884e-07,2.8514512991321824e-07,2.218976052014566e-07,1.7491635771410878e-07,1.411700947333354e-07,1.177856816096582e-07,1.0222005343310169e-07,9.234199205095613e-08,8.64464643569096e-08,8.322462416126175e-08,8.170942052416803e-08,8.12119978550422e-08,8.125915847590381e-08,8.153794288761563e-08,8.18502328847142e-08,8.207822881144027e-08,8.216053995770226e-08,31.04272099352137,-412.2367374694232,497.9821019381921,254.9603495240443,474.98276320966704,-109.84603118896484,-714.967041015625,1115179,5.808224,0.6,1.0
2026-03-31 11:12:23.492700,[65.36455243],2.184228919475825e-09,2.1917247990267275e-09,2.214237837616921e-09,2.2518312754528277e-09,2.304567929284655e-09,2.372448631753564e-09,2.455331218287677e-09,2.552836349763493e-09,2.6642494696018016e-09,2.788431465911507e-09,2.9237535454226557e-09,3.068073578296149e-09,3.218770777288778e-09,3.372852180072539e-09,3.5271375571579623e-09,3.678519273414106e-09,3.824281268087447e-09,3.9624483352602304e-09,4.092125264061395e-09,4.2137769985978194e-09,4.329397210288429e-09,4.442514483594978e-09,4.557993531180159e-09,4.681604648211592e-09,4.8193595325509886e-09,4.976646666322799e-09,5.157243329042015e-09,5.362328172346518e-09,5.5896568956581825e-09,5.833078918776617e-09,6.0825509925066e-09,6.324737853451434e-09,6.5441868227542205e-09,6.724943682926509e-09,6.852372181761405e-09,6.914880264420165e-09,6.905262744924923e-09,6.821443676742378e-09,6.6665230975625126e-09,6.448169300477634e-09,6.177514024210767e-09,5.8677775577268035e-09,5.532863382018783e-09,5.186124138514454e-09,4.83943089857999e-09,4.502598582282738e-09,4.183151451693939e-09,3.886365707356227e-09,3.615504496536106e-09,3.372160426703285e-09,3.156634672846267e-09,2.968302158552063e-09,2.8059328480176812e-09,2.667956126590755e-09,2.55266710658862e-09,2.4583806582750203e-09,2.383542082055163e-09,2.3268038843546383e-09,2.287077214967948e-09,2.263564970254241e-09,2.255781846275808e-09,31.07779999400601,-412.2367374694232,497.9821019381921,254.9603495240443,474.98276320966704,-109.63885498046876,-713.5453491210938,1125231,5.860578,0.6,1.0
