timestamp,sample_index,time_seconds,left_volume,right_volume
2026-06-09T09:38:29.083640,0,0.000000,0.788203,0.720904
2026-06-09T09:38:29.094307,512,0.010667,0.633389,0.603637
2026-06-09T09:38:29.104974,1024,0.021333,0.785615,0.756133
2026-06-09T09:38:29.115640,1536,0.032000,0.619032,0.690871
2026-06-09T09:38:29.126307,2048,0.042667,0.615193,0.681515
2026-06-09T09:38:29.136974,2560,0.053333,0.721656,0.742476
2026-06-09T09:38:29.147640,3072,0.064000,0.608796,0.667193
2026-06-09T09:38:29.158307,3584,0.074667,0.707173,0.667777
2026-06-09T09:38:29.168974,4096,0.085333,0.781474,0.720947
2026-06-09T09:38:29.179640,4608,0.096000,0.765189,0.711352
2026-06-09T09:38:29.190307,5120,0.106667,0.802615,0.573060
2026-06-09T09:38:29.200974,5632,0.117333,0.709253,0.702166
2026-06-09T09:38:29.211640,6144,0.128000,0.704091,0.740485
2026-06-09T09:38:29.222307,6656,0.138667,0.702081,0.684812
2026-06-09T09:38:29.232974,7168,0.149333,0.658129,0.726765
2026-06-09T09:38:29.243640,7680,0.160000,0.699294,0.673939
2026-06-09T09:38:29.254307,8192,0.170667,0.673554,0.738793
2026-06-09T09:38:29.264974,8704,0.181333,0.737214,0.764694
2026-06-09T09:38:29.275640,9216,0.192000,0.635240,0.714550
2026-06-09T09:38:29.286307,9728,0.202667,0.708786,0.748551
2026-06-09T09:38:29.296974,10240,0.213333,0.661966,0.722466
2026-06-09T09:38:29.307640,10752,0.224000,0.852855,0.738412
2026-06-09T09:38:29.318307,11264,0.234667,0.709445,0.733644
2026-06-09T09:38:29.328974,11776,0.245333,0.718429,0.700851
2026-06-09T09:38:29.339640,12288,0.256000,0.694489,0.780637
2026-06-09T09:38:29.350307,12800,0.266667,0.689302,0.666600
2026-06-09T09:38:29.360974,13312,0.277333,0.641162,0.701676
2026-06-09T09:38:29.371640,13824,0.288000,0.621294,0.731168
2026-06-09T09:38:29.382307,14336,0.298667,0.700047,0.754399
2026-06-09T09:38:29.392974,14848,0.309333,0.678108,0.687860
2026-06-09T09:38:29.403640,15360,0.320000,0.769383,0.654900
2026-06-09T09:38:29.414307,15872,0.330667,0.732361,0.720349
2026-06-09T09:38:29.424974,16384,0.341333,0.711247,0.735133
2026-06-09T09:38:29.435640,16896,0.352000,0.768513,0.704283
2026-06-09T09:38:29.446307,17408,0.362667,0.670136,0.693350
2026-06-09T09:38:29.456974,17920,0.373333,0.671218,0.627249
2026-06-09T09:38:29.467640,18432,0.384000,0.686754,0.756136
2026-06-09T09:38:29.478307,18944,0.394667,0.730330,0.796458
2026-06-09T09:38:29.488974,19456,0.405333,0.813086,0.705830
2026-06-09T09:38:29.499640,19968,0.416000,0.749357,0.665902
2026-06-09T09:38:29.510307,20480,0.426667,0.710825,0.718391
2026-06-09T09:38:29.520974,20992,0.437333,0.648841,0.757019
2026-06-09T09:38:29.531640,21504,0.448000,0.639921,0.694541
2026-06-09T09:38:29.542307,22016,0.458667,0.699637,0.670088
2026-06-09T09:38:29.552974,22528,0.469333,0.659290,0.763744
2026-06-09T09:38:29.563640,23040,0.480000,0.746940,0.668387
2026-06-09T09:38:29.574307,23552,0.490667,0.728466,0.748172
2026-06-09T09:38:29.584974,24064,0.501333,0.726932,0.654783
2026-06-09T09:38:29.595640,24576,0.512000,0.685174,0.765135
2026-06-09T09:38:29.606307,25088,0.522667,0.692225,0.668857
2026-06-09T09:38:29.616974,25600,0.533333,0.805200,0.684031
2026-06-09T09:38:29.627640,26112,0.544000,0.617205,0.729099
2026-06-09T09:38:29.638307,26624,0.554667,0.667506,0.713024
2026-06-09T09:38:29.648974,27136,0.565333,0.749766,0.657964
2026-06-09T09:38:29.659640,27648,0.576000,0.760312,0.770953
2026-06-09T09:38:29.670307,28160,0.586667,0.759211,0.627580
2026-06-09T09:38:29.680974,28672,0.597333,0.639875,0.706103
2026-06-09T09:38:29.691640,29184,0.608000,0.702201,0.757452
2026-06-09T09:38:29.702307,29696,0.618667,0.604200,0.708682
2026-06-09T09:38:29.712973,30208,0.629333,0.689100,0.746295
2026-06-09T09:38:29.723640,30720,0.640000,0.709037,0.693148
2026-06-09T09:38:29.734307,31232,0.650667,0.692686,0.698988
2026-06-09T09:38:29.744973,31744,0.661333,0.763361,0.726462
2026-06-09T09:38:29.755640,32256,0.672000,0.680402,0.656072
2026-06-09T09:38:29.766307,32768,0.682667,0.634057,0.610914
2026-06-09T09:38:29.776973,33280,0.693333,0.837562,0.796163
2026-06-09T09:38:29.787640,33792,0.704000,0.705092,0.640500
2026-06-09T09:38:29.798307,34304,0.714667,0.658722,0.660789
2026-06-09T09:38:29.808973,34816,0.725333,0.685567,0.614361
2026-06-09T09:38:29.819640,35328,0.736000,0.648560,0.712860
2026-06-09T09:38:29.830307,35840,0.746667,0.668602,0.637781
2026-06-09T09:38:29.840973,36352,0.757333,0.698910,0.667450
2026-06-09T09:38:29.851640,36864,0.768000,0.719141,0.727928
2026-06-09T09:38:29.862307,37376,0.778667,0.712731,0.621320
2026-06-09T09:38:29.872973,37888,0.789333,0.718266,0.673549
2026-06-09T09:38:29.883640,38400,0.800000,0.688142,0.756122
2026-06-09T09:38:29.894307,38912,0.810667,0.699080,0.757932
2026-06-09T09:38:29.904973,39424,0.821333,0.718606,0.713549
2026-06-09T09:38:29.915640,39936,0.832000,0.661744,0.689706
2026-06-09T09:38:29.926307,40448,0.842667,0.744041,0.715667
2026-06-09T09:38:29.936973,40960,0.853333,0.844556,0.771367
2026-06-09T09:38:29.947640,41472,0.864000,0.621935,0.664065
2026-06-09T09:38:29.958307,41984,0.874667,0.731992,0.646511
2026-06-09T09:38:29.968973,42496,0.885333,0.768855,0.779322
2026-06-09T09:38:29.979640,43008,0.896000,0.609650,0.735597
2026-06-09T09:38:29.990307,43520,0.906667,0.739342,0.654056
2026-06-09T09:38:30.000973,44032,0.917333,0.643367,0.664152
2026-06-09T09:38:30.011640,44544,0.928000,0.688807,0.695775
2026-06-09T09:38:30.022307,45056,0.938667,0.677988,0.803451
2026-06-09T09:38:30.032964,45568,0.949333,0.669735,0.725859
2026-06-09T09:38:30.043631,46080,0.960000,0.785862,0.758653
2026-06-09T09:38:30.054298,46592,0.970667,0.692859,0.706756
2026-06-09T09:38:30.064964,47104,0.981333,0.703086,0.722802
2026-06-09T09:38:30.075631,47616,0.992000,0.716610,0.656180
2026-06-09T09:38:30.086297,48128,1.002667,0.694049,0.648350
2026-06-09T09:38:30.096964,48640,1.013333,0.705133,0.709675
2026-06-09T09:38:30.107630,49152,1.024000,0.693070,0.731995
2026-06-09T09:38:30.118297,49664,1.034667,0.751306,0.698872
2026-06-09T09:38:30.128963,50176,1.045333,0.748714,0.644642
2026-06-09T09:38:30.139630,50688,1.056000,0.801520,0.752833
2026-06-09T09:38:30.150296,51200,1.066667,0.612008,0.671905
2026-06-09T09:38:30.160963,51712,1.077333,0.688691,0.684612
2026-06-09T09:38:30.171630,52224,1.088000,0.758768,0.700261
2026-06-09T09:38:30.182296,52736,1.098667,0.681861,0.644917
2026-06-09T09:38:30.192963,53248,1.109333,0.814841,0.653237
2026-06-09T09:38:30.203629,53760,1.120000,0.717916,0.688416
2026-06-09T09:38:30.214296,54272,1.130667,0.772645,0.711200
2026-06-09T09:38:30.224962,54784,1.141333,0.597875,0.679014
2026-06-09T09:38:30.235629,55296,1.152000,0.722082,0.775351
2026-06-09T09:38:30.246295,55808,1.162667,0.674709,0.679530
2026-06-09T09:38:30.256962,56320,1.173333,0.651037,0.669773
2026-06-09T09:38:30.267628,56832,1.184000,0.635612,0.739339
2026-06-09T09:38:30.278295,57344,1.194667,0.722676,0.726420
2026-06-09T09:38:30.288962,57856,1.205333,0.653102,0.749861
