timestamp,x,y
2026-03-30T14:03:03.149411,-109.58760833740234,-742.69677734375
2026-03-30T14:03:03.168109,-109.59347534179688,-742.7097778320312
2026-03-30T14:03:03.173896,-109.59236145019531,-742.7123413085938
2026-03-30T14:03:03.180383,-109.58910369873047,-742.69921875
2026-03-30T14:03:03.188073,-109.60652160644531,-742.7182006835938
2026-03-30T14:03:03.197505,-109.558837890625,-742.6573486328125
2026-03-30T14:03:03.208541,-109.59727478027344,-742.7111206054688
2026-03-30T14:03:03.217457,-109.60032653808594,-742.7212524414062
2026-03-30T14:03:03.227300,-109.58873748779297,-742.7037963867188
2026-03-30T14:03:03.238361,-109.59183502197266,-742.7057495117188
2026-03-30T14:03:03.247481,-109.57908630371094,-742.6919555664062
2026-03-30T14:03:03.257061,-109.5745620727539,-742.6861572265625
2026-03-30T14:03:03.267429,-109.58135986328125,-742.6920776367188
2026-03-30T14:03:03.278154,-109.58360290527344,-742.6943969726562
2026-03-30T14:03:03.287304,-109.6019058227539,-742.7177124023438
2026-03-30T14:03:03.297936,-109.58485412597656,-742.6949462890625
2026-03-30T14:03:03.307064,-109.5887222290039,-742.7018432617188
2026-03-30T14:03:03.319109,-109.61114501953125,-742.7252197265625
2026-03-30T14:03:03.326693,-109.59381866455078,-742.7086791992188
2026-03-30T14:03:03.340181,-109.59088897705078,-742.7010498046875
2026-03-30T14:03:03.347316,-109.7159423828125,-742.8554077148438
2026-03-30T14:03:03.360902,-109.59188842773438,-742.7025756835938
2026-03-30T14:03:03.369245,-109.8022689819336,-742.9629516601562
2026-03-30T14:03:03.377766,-109.61835479736328,-742.7314453125
2026-03-30T14:03:03.388532,-109.60901641845703,-742.7190551757812
2026-03-30T14:03:03.396914,-109.59639739990234,-742.7113647460938
2026-03-30T14:03:03.407536,-109.62423706054688,-742.7354125976562
2026-03-30T14:03:03.417517,-109.73869323730469,-742.8856811523438
2026-03-30T14:03:03.427690,-109.588623046875,-742.7088623046875
2026-03-30T14:03:03.437938,-109.60678100585938,-742.7222900390625
2026-03-30T14:03:03.448030,-109.61073303222656,-742.7335815429688
2026-03-30T14:03:03.456953,-109.59748840332031,-742.716796875
2026-03-30T14:03:03.467965,-109.59307861328125,-742.7054443359375
2026-03-30T14:03:03.478731,-109.59452819824219,-742.705322265625
2026-03-30T14:03:03.487481,-109.5926742553711,-742.7059936523438
2026-03-30T14:03:03.497363,-109.6109390258789,-742.7278442382812
2026-03-30T14:03:03.507316,-109.59723663330078,-742.710205078125
2026-03-30T14:03:03.517156,-109.59712982177734,-742.7081298828125
2026-03-30T14:03:03.528391,-109.59257507324219,-742.7040405273438
2026-03-30T14:03:03.537217,-109.58601379394531,-742.6986694335938
2026-03-30T14:03:03.547274,-109.56975555419922,-742.6770629882812
2026-03-30T14:03:03.556952,-109.61357116699219,-742.7340698242188
2026-03-30T14:03:03.567983,-109.5952377319336,-742.7049560546875
2026-03-30T14:03:03.578640,-109.5829086303711,-742.70068359375
2026-03-30T14:03:03.587549,-109.64567565917969,-742.770751953125
2026-03-30T14:03:03.597049,-109.70960998535156,-742.8501586914062
2026-03-30T14:03:03.607242,-109.607666015625,-742.719970703125
2026-03-30T14:03:03.617370,-109.61318969726562,-742.7273559570312
2026-03-30T14:03:03.649801,-109.5652847290039,-742.6777954101562
2026-03-30T14:03:03.655401,-109.58955383300781,-742.7008056640625
2026-03-30T14:03:03.661841,-109.79661560058594,-742.959716796875
2026-03-30T14:03:03.667846,-109.590576171875,-742.705322265625
2026-03-30T14:03:03.677321,-109.5969467163086,-742.7077026367188
2026-03-30T14:03:03.688576,-109.59856414794922,-742.7134399414062
2026-03-30T14:03:03.697612,-109.57192993164062,-742.6856689453125
2026-03-30T14:03:03.707582,-109.80195617675781,-742.9634399414062
2026-03-30T14:03:03.717648,-109.60655975341797,-742.7315673828125
2026-03-30T14:03:03.730084,-109.60404968261719,-742.7224731445312
2026-03-30T14:03:03.737837,-109.73570251464844,-742.8883056640625
2026-03-30T14:03:03.748326,-109.57794952392578,-742.6900634765625
2026-03-30T14:03:03.760446,-109.60781860351562,-742.7208251953125
2026-03-30T14:03:03.767878,-109.78741455078125,-742.945556640625
2026-03-30T14:03:03.778029,-109.58999633789062,-742.7030029296875
2026-03-30T14:03:03.786910,-109.57748413085938,-742.6926879882812
2026-03-30T14:03:03.797850,-109.73136901855469,-742.8759155273438
2026-03-30T14:03:03.807764,-109.61006164550781,-742.7294311523438
