timestamp,angle,x1,y1,x2,y2,robot_x,robot_y
2026-04-02T10:43:37.264109,32.56631047467783,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.58155822753906,-642.58056640625
2026-04-02T10:43:37.272774,32.57299231179956,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.54197692871094,-642.3342895507812
2026-04-02T10:43:37.282565,32.587256663535,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.50608825683594,-641.808837890625
2026-04-02T10:43:37.292201,32.59350008226629,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.51238250732422,-641.5789794921875
2026-04-02T10:43:37.306710,32.59723920441568,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.5414810180664,-641.4413452148438
2026-04-02T10:43:37.314292,32.600537653443055,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.5810775756836,-641.3199462890625
2026-04-02T10:43:37.364541,32.60552928061664,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.61299896240234,-641.1362915039062
2026-04-02T10:43:37.373578,32.64254244383243,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.5979232788086,-639.7763671875
2026-04-02T10:43:37.383547,32.65159225189653,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.57237243652344,-639.4443359375
2026-04-02T10:43:37.393459,32.65921638103695,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.57235717773438,-639.1647338867188
2026-04-02T10:43:37.402480,32.668208073243804,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.56951904296876,-638.8351440429688
2026-04-02T10:43:37.413138,32.67505399930704,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.60955047607422,-638.5842895507812
2026-04-02T10:43:37.424741,32.684578049557764,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.5899658203125,-638.2355346679688
2026-04-02T10:43:37.449111,32.693358624167374,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.566162109375,-637.9141845703125
2026-04-02T10:43:37.472984,32.71311130485885,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.50872039794922,-637.19189453125
2026-04-02T10:43:37.483032,32.714143077106975,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-107.02204132080078,-637.153564453125
2026-04-02T10:43:37.493216,32.74397772674299,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.36492919921876,-636.06494140625
2026-04-02T10:43:37.501517,32.75032521602044,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.35089111328124,-635.8334350585938
2026-04-02T10:43:37.512563,32.75605056489473,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.33734130859376,-635.6246948242188
2026-04-02T10:43:37.521706,32.763077818073874,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.3105010986328,-635.3685913085938
2026-04-02T10:43:37.531622,32.771470492182225,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.2765655517578,-635.0628662109375
2026-04-02T10:43:37.543538,32.779702962016465,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.24623107910156,-634.7631225585938
2026-04-02T10:43:37.554637,32.78652496325512,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.24735260009766,-634.5148315429688
2026-04-02T10:43:37.563913,32.772063539333445,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.83985900878906,-635.0407104492188
2026-04-02T10:43:37.575063,32.78031669112628,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.81580352783205,-634.740234375
2026-04-02T10:43:37.584506,32.78867206354273,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.76830291748048,-634.4362182617188
2026-04-02T10:43:37.615185,32.819898460252446,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.10163879394533,-633.3016967773438
2026-04-02T10:43:37.624131,32.84405542812652,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.07227325439452,-632.425048828125
2026-04-02T10:43:37.631794,32.85323938557586,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.03945922851562,-632.0921020507812
2026-04-02T10:43:37.641611,32.86149133487961,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.0320816040039,-631.7930908203125
2026-04-02T10:43:37.649711,32.84681258472405,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.66285705566406,-632.3245849609375
2026-04-02T10:43:37.657855,32.85543329500425,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.66170501708984,-632.0120849609375
2026-04-02T10:43:37.669037,32.88670150334538,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.02608489990234,-630.8804931640625
2026-04-02T10:43:37.679729,32.89483294361977,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.03125,-630.58642578125
2026-04-02T10:43:37.690546,32.90389386521704,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.03536987304688,-630.2589111328125
2026-04-02T10:43:37.699870,32.91265400520825,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.0167007446289,-629.9424438476562
2026-04-02T10:43:37.709877,32.918746694439186,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.0632781982422,-629.722412109375
2026-04-02T10:43:37.738071,32.926178232611235,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.05735778808594,-629.4541625976562
2026-04-02T10:43:37.747799,32.94307191313655,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.07718658447266,-628.8447875976562
2026-04-02T10:43:37.758096,32.95020201746183,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.10175323486328,-628.5877685546875
2026-04-02T10:43:37.767845,32.93466400886417,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.74559783935548,-629.1472778320312
2026-04-02T10:43:37.788799,32.97853752289336,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.0592269897461,-627.5675048828125
2026-04-02T10:43:37.799544,32.98702920113945,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.03904724121094,-627.2620849609375
2026-04-02T10:43:37.809537,33.003112907572984,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.00118255615234,-626.6840209960938
2026-04-02T10:43:37.821144,33.010783902930676,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-105.98778533935548,-626.4085083007812
2026-04-02T10:43:37.831958,33.01721699119794,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-105.97877502441406,-626.1775512695312
2026-04-02T10:43:37.841916,33.0239658704715,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-105.94324493408205,-625.9353637695312
2026-04-02T10:43:37.853008,33.00710698345407,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-106.57213592529295,-626.5399780273438
2026-04-02T10:43:37.864311,33.03957889546221,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-105.90538787841795,-625.3754272460938
2026-04-02T10:43:37.872608,33.049508512692384,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-105.8618392944336,-625.0195922851562
2026-04-02T10:43:37.879746,33.059367212696586,-407.03881660949287,514.4399195281424,256.68145139220803,474.8195936421892,-105.81478881835938,-624.66650390625
