timestamp,dB_SPL,-90.0,-87.0,-84.0,-81.0,-78.0,-75.0,-72.0,-69.0,-66.0,-63.0,-60.0,-57.0,-54.0,-51.0,-48.0,-45.0,-42.0,-39.0,-36.0,-33.0,-30.0,-27.0,-24.0,-21.0,-18.0,-15.0,-12.0,-9.0,-6.0,-3.0,0.0,3.0,6.0,9.0,12.0,15.0,18.0,21.0,24.0,27.0,30.0,33.0,36.0,39.0,42.0,45.0,48.0,51.0,54.0,57.0,60.0,63.0,66.0,69.0,72.0,75.0,78.0,81.0,84.0,87.0,90.0
2026-05-22 11:40:12.531194,[89.00078806],8.498600864688627e-08,8.511513213102462e-08,8.551082141168843e-08,8.620003125937325e-08,8.723448654241808e-08,8.870132649162134e-08,9.073876824961247e-08,9.355736377579373e-08,9.746756246362315e-08,1.0291471831502728e-07,1.1052351718143972e-07,1.2115476291143563e-07,1.359774719376438e-07,1.5655618369516086e-07,1.849445413152236e-07,2.237595120539129e-07,2.7618731662948687e-07,3.4584947788375775e-07,4.3644982181359553e-07,5.511492750350623e-07,6.916885143152305e-07,8.573946110182045e-07,1.0443339451539898e-06,1.2449501067984488e-06,1.4484865204097416e-06,1.6423044953041279e-06,1.8139009440233886e-06,1.953115496273543e-06,2.053844886510037e-06,2.1146714720901685e-06,2.1381719106258177e-06,2.129172421428224e-06,2.0926384341557956e-06,2.0320255441262855e-06,1.948700340253824e-06,1.8425631668958427e-06,1.7134946406152862e-06,1.5629353943950805e-06,1.394915854761119e-06,1.2161414639692372e-06,1.0351478502090615e-06,8.608812079007483e-07,7.012068847631337e-07,5.617862319302583e-07,4.455604512840514e-07,3.528487726102558e-07,2.8189616837483164e-07,2.2963326336852207e-07,1.9242971176878134e-07,1.6669512664026935e-07,1.4926717717306118e-07,1.375951591783748e-07,1.2976683124213212e-07,1.2443821899204712e-07,1.2071933894745349e-07,1.1805348061288116e-07,1.1611149584275607e-07,1.1470968602531837e-07,1.137516360907376e-07,1.1319023720308734e-07,1.1300498384937882e-07
2026-05-22 11:40:12.736355,[91.03407455],1.375699956657198e-07,1.3775776104084392e-07,1.3833224439254366e-07,1.3933024693412645e-07,1.40824130210891e-07,1.4293906575142315e-07,1.4587834579301002e-07,1.4995749611481936e-07,1.5564797580496932e-07,1.6363175432138053e-07,1.74869342296518e-07,1.9068565085058952e-07,2.1287883268925277e-07,2.4385374293392177e-07,2.867692415591701e-07,3.456633780908526e-07,4.254834261080775e-07,5.319091597592031e-07,6.70840083875768e-07,8.474508271620933e-07,1.064828018066941e-06,1.3223840988349449e-06,1.6144505391856105e-06,1.9295909403351886e-06,2.2511350054439145e-06,2.5591529981145802e-06,2.8336079038933197e-06,3.0579059918715044e-06,3.2217581433565324e-06,3.322365554416197e-06,3.3634882695617114e-06,3.35275337035286e-06,3.298263013313099e-06,3.205833639484336e-06,3.0778936456263376e-06,2.9143251709519526e-06,2.714706644938688e-06,2.4808748049833065e-06,2.2186922781378705e-06,1.9383381834991708e-06,1.653088205292494e-06,1.3771131054179332e-06,1.1230896420208624e-06,9.00343335340666e-07,7.139347938976753e-07,5.64731576646071e-07,4.502227104581835e-07,3.6570391459292964e-07,3.0548039232709776e-07,2.638444182845674e-07,2.3572060153845774e-07,2.1698375265518145e-07,2.0452093186294615e-07,1.9613154679393964e-07,1.9035077650463943e-07,1.8625816138789665e-07,1.8330747893026e-07,1.8119313872289775e-07,1.797546611175682e-07,1.7891378632162397e-07,1.7863659185946356e-07
2026-05-22 11:40:12.785089,[65.53102565],4.214289184424762e-09,4.228998121308732e-09,4.273010274376874e-09,4.345952426772668e-09,4.4471092210162185e-09,4.5752982498795025e-09,4.7287271120999215e-09,4.9048675340156296e-09,5.100393741878659e-09,5.311241462026702e-09,5.532844855468936e-09,5.760594239887453e-09,5.990520547394383e-09,6.220149660698807e-09,6.449386270158096e-09,6.681201416169207e-09,6.921844029116275e-09,7.180316804232114e-09,7.466985080035857e-09,7.791426360077984e-09,8.159926035837745e-09,8.573272850398547e-09,9.025569993719354e-09,9.504556206185852e-09,9.99343915966446e-09,1.047364426785352e-08,1.0927450432211084e-08,1.1339480923684167e-08,1.1696531407422699e-08,1.1986066708808923e-08,1.2194497219910159e-08,1.2306619259763126e-08,1.230715607478093e-08,1.218432640455089e-08,1.1934275722668755e-08,1.1564586208123795e-08,1.1095263755580073e-08,1.0556509395358955e-08,9.983790224337835e-09,9.41168638656057e-09,8.868321309636739e-09,8.371821087433045e-09,7.929436591725745e-09,7.539079968098155e-09,7.192404323376276e-09,6.878344059797342e-09,6.586195291921203e-09,6.3076924463515765e-09,6.037946526653342e-09,5.775420916456424e-09,5.5212784759600235e-09,5.278452175755879e-09,5.0507196101685875e-09,4.841954038289165e-09,4.65562232053101e-09,4.4945249583261674e-09,4.360730426966821e-09,4.255639951301464e-09,4.180120738549772e-09,4.134656719499968e-09,4.119479684572242e-09
2026-05-22 11:40:12.929381,[92.08144748],1.7430036392685832e-07,1.745463411283178e-07,1.7529936398661353e-07,1.7660894064949895e-07,1.7857197934325533e-07,1.813552375878915e-07,1.8522809303687708e-07,1.906063556746262e-07,1.9810774162675248e-07,2.086201164696155e-07,2.233851792666306e-07,2.44102676016428e-07,2.7306167463197363e-07,3.1330178702087095e-07,3.6879250800215644e-07,4.445877812548984e-07,5.468660406315479e-07,6.8271594634596e-07,8.595031040825865e-07,1.0836922645432082e-06,1.3591353367219356e-06,1.6850665993020139e-06,2.054312847005892e-06,2.4524080736823252e-06,2.858258802480962e-06,3.246651242208593e-06,3.5922734907675966e-06,3.874257540486537e-06,4.0798401977148775e-06,4.20586369381952e-06,4.257535927386887e-06,4.244905559532687e-06,4.178427284864747e-06,4.065355355451742e-06,3.9083158473469455e-06,3.7064429075049236e-06,3.458375581702524e-06,3.165696756535182e-06,2.83534086598185e-06,2.4800550449096166e-06,2.1168504432129144e-06,1.7641269678251611e-06,1.43851451046803e-06,1.1523861851921252e-06,9.126000574989327e-07,7.205393235136032e-07,5.731416269937243e-07,4.6443224802522426e-07,3.8709537847636485e-07,3.337598806647633e-07,2.978536958989895e-07,2.740293804430566e-07,2.5825247244911915e-07,2.476751638509194e-07,2.40407423987532e-07,2.3526734870228632e-07,2.3155875172618235e-07,2.2889641695012749e-07,2.2708127364379327e-07,2.260183804695182e-07,2.2566766571923795e-07
2026-05-22 11:40:12.977419,[68.9484619],6.649635004411597e-09,6.676345764309658e-09,6.756509667016129e-09,6.8901716898484575e-09,7.0772433298541734e-09,7.3172683188297895e-09,7.609119746071837e-09,7.950660613301725e-09,8.338416625821449e-09,8.76732816443419e-09,9.230662757354738e-09,9.720171573644089e-09,1.0226552539709388e-08,1.0740227965584933e-08,1.1252351272091204e-08,1.175583464901473e-08,1.2246068151640276e-08,1.2720936032232576e-08,1.3179797537545529e-08,1.3621343526695972e-08,1.404066868431023e-08,1.4426417937701607e-08,1.4759274678346357e-08,1.501309846592804e-08,1.5159486561567716e-08,1.5175421621401145e-08,1.5052269760105504e-08,1.4803265013479529e-08,1.4466372496454507e-08,1.410042263846833e-08,1.3774492746387982e-08,1.3552961723349805e-08,1.3480467934103235e-08,1.3571325398294368e-08,1.3806576585408464e-08,1.4139312516930164e-08,1.450621643063838e-08,1.4841540005126785e-08,1.5089479888548706e-08,1.5212076453559636e-08,1.5191647336741642e-08,1.5028565022100968e-08,1.4736275254625408e-08,1.4335638070158562e-08,1.385015436446559e-08,1.3302817551561784e-08,1.271458256059408e-08,1.2103994049155704e-08,1.1487396232445539e-08,1.0879262793264123e-08,1.0292398449000932e-08,9.737960280611502e-09,9.225368166906924e-09,8.762212427485049e-09,8.354246747105576e-09,8.005507995369755e-09,7.71855786587932e-09,7.494808711410452e-09,7.334881126309733e-09,7.238940579857396e-09,7.206969107708924e-09
2026-05-22 11:40:13.127777,[86.98315046],5.449309638514992e-08,5.459080852697227e-08,5.489211434751211e-08,5.542291273121629e-08,5.623100549824532e-08,5.739302063531116e-08,5.902393770224216e-08,6.128891677901173e-08,6.441711081268596e-08,6.871751471916242e-08,7.459791018115296e-08,8.258954580480009e-08,9.338163621071195e-08,1.0786943069221947e-07,1.272150810995302e-07,1.5290962384237447e-07,1.8680701572898227e-07,2.3108175855501556e-07,2.8805045851400957e-07,3.598089616155161e-07,4.476824281456164e-07,5.515655840873037e-07,6.693232057611669e-07,7.964843445173132e-07,9.264486965484253e-07,1.0513008693168728e-06,1.163116888780562e-06,1.2554227379938897e-06,1.324335455978999e-06,1.3689713232145782e-06,1.3909537941304664e-06,1.3932063747459676e-06,1.3785147989452199e-06,1.3484411351891432e-06,1.3030142116811145e-06,1.2412771371827775e-06,1.1624062861792472e-06,1.0668949052225439e-06,9.573062096973143e-07,8.38316147337671e-07,7.160665186060455e-07,5.97096833464851e-07,4.872279504648785e-07,3.9072080269434503e-07,3.0988360339616495e-07,2.4513069900896655e-07,1.953708521526346e-07,1.5855091185369663e-07,1.3219558769479213e-07,1.1383783157883547e-07,1.0129672211163708e-07,9.280936385758554e-08,8.705146870184325e-08,8.308945364025495e-08,8.030171826254366e-08,7.829562405759447e-08,7.683510288215709e-08,7.578472852991875e-08,7.50703381673683e-08,7.465348474045501e-08,7.451625912064019e-08
2026-05-22 11:40:13.330208,[88.11343277],7.301242240652445e-08,7.313495979863699e-08,7.351170207868741e-08,7.417187697701402e-08,7.517036529158407e-08,7.659705490287977e-08,7.859000072175935e-08,8.135225605972877e-08,8.517221590069826e-08,9.044770406298361e-08,9.771509992239533e-08,1.0768642382860728e-07,1.2129856960753065e-07,1.3977776021043027e-07,1.6471590360191442e-07,1.981413167047713e-07,2.425445531646233e-07,3.007968124677104e-07,3.7588682688679435e-07,4.7042013197841215e-07,5.858866084883432e-07,7.218064198567636e-07,8.749823482041265e-07,1.0391629414616826e-06,1.20539307631597e-06,1.3631611502562618e-06,1.502172327272451e-06,1.6142854877738577e-06,1.6949893549034868e-06,1.7438738311351612e-06,1.7638873661009882e-06,1.759640291427867e-06,1.7354094857239166e-06,1.6936279210906263e-06,1.634430957747614e-06,1.5563735464603935e-06,1.4579428984325293e-06,1.3391916732752832e-06,1.202824708994951e-06,1.054351581667985e-06,9.013137007070324e-07,7.519264588503132e-07,6.136234521980654e-07,4.919329594675316e-07,3.8992542116060233e-07,3.0824840651974996e-07,2.4559862840289586e-07,1.994082970413149e-07,1.6653813389879774e-07,1.4383679522277442e-07,1.2850682006449762e-07,1.182822535766549e-07,1.1146084115658435e-07,1.0684548948478074e-07,1.0364385651056697e-07,1.0136094186026579e-07,9.970463045811975e-08,9.851226063096802e-08,9.769866429999783e-08,9.722232199803186e-08,9.706519325731276e-08
2026-05-22 11:40:13.522760,[89.13551902],9.100601274353572e-08,9.116482258413171e-08,9.16530925954374e-08,9.250874770294644e-08,9.380309799759601e-08,9.56532405975059e-08,9.823971763785083e-08,1.01829391611147e-07,1.0680333769980283e-07,1.1368973458276167e-07,1.232025419330211e-07,1.3628808951341323e-07,1.5418262566086393e-07,1.7848224172967904e-07,2.1121931371277447e-07,2.549240168307266e-07,3.1262600816294043e-07,3.877267826913296e-07,4.836622126946267e-07,6.032972844912343e-07,7.48066886799021e-07,9.169952906407329e-07,1.10585987193186e-06,1.3068488398096055e-06,1.5090268293658806e-06,1.699726123274811e-06,1.8666565871835144e-06,2.0001899560165984e-06,2.0950874675100384e-06,2.151035346104242e-06,2.171744502814047e-06,2.1629206973179424e-06,2.1298772981440186e-06,2.0757174474234074e-06,2.000767968006312e-06,1.9034102630693554e-06,1.7818731541750572e-06,1.6361911775664657e-06,1.469531591553173e-06,1.2884166535199698e-06,1.1018360921276873e-06,9.196433593617859e-07,7.508121900298369e-07,6.020713289193773e-07,4.772128180762143e-07,3.7710493266198076e-07,3.0023821992564866e-07,2.4354144530005975e-07,2.0321732486332398e-07,1.7542563605362785e-07,1.5673683095117043e-07,1.4435822049036083e-07,1.361818553183055e-07,1.3071914501308355e-07,1.269814872874373e-07,1.2434996209326248e-07,1.2245928146074136e-07,1.21106659226177e-07,1.2018675056483493e-07,1.1964892147762713e-07,1.1947159024109164e-07
2026-05-22 11:40:13.569595,[68.9016973],5.36812517884509e-09,5.3819753489267905e-09,5.423653755128238e-09,5.493530395746107e-09,5.592174342721471e-09,5.720275472324544e-09,5.878521432338252e-09,6.067418599567424e-09,6.287049748561434e-09,6.536777597254334e-09,6.8149417619574936e-09,7.118666031910663e-09,7.443994633673695e-09,7.786691855146636e-09,8.144117167759618e-09,8.5185363698034e-09,8.921932876765114e-09,9.3817538880401e-09,9.946089491230533e-09,1.0685772167184844e-08,1.1690277749220289e-08,1.3054731773012186e-08,1.4857274923803878e-08,1.7129497038192332e-08,1.982675655075469e-08,2.2808300556999123e-08,2.5837268918752978e-08,2.860669165239567e-08,3.078991648213703e-08,3.210494515613318e-08,3.2375556111506186e-08,3.1571094487470044e-08,2.981253342089457e-08,2.734300342439435e-08,2.4472309312230468e-08,2.1512497652627263e-08,1.8722565247708607e-08,1.627513004799119e-08,1.4249131074218348e-08,1.2644198635437052e-08,1.1407222710977443e-08,1.0460877699053615e-08,9.726533343001495e-09,9.138140443649051e-09,8.647423792725659e-09,8.222937805957391e-09,7.846091030118131e-09,7.506628864510246e-09,7.198986967154525e-09,6.919949656892595e-09,6.6674364043201166e-09,6.440008758985322e-09,6.236716264031772e-09,6.057035366410061e-09,5.900793499185808e-09,5.768062164202189e-09,5.65904244719945e-09,5.5739698977230864e-09,5.513052830801914e-09,5.4764433029088215e-09,5.464230461095715e-09
