timestamp,robot_x,robot_y,speakerL_x,speakerL_y,speakerR_x,speakerR_y
2026-06-09T09:34:44.710353,-1104.90087890625,-528.2593994140625,-352.54498291015625,-183.26547241210938,-343.6528625488281,-854.9198608398438
2026-06-09T09:34:44.719887,-1104.88818359375,-528.2550659179688,-352.5519104003906,-183.26585388183594,-343.81866455078125,-855.0166625976562
2026-06-09T09:34:44.734503,-1104.9012451171875,-528.2611083984375,-352.54974365234375,-183.2625732421875,-343.6107177734375,-855.0217895507812
2026-06-09T09:34:44.740872,-1104.8917236328125,-528.2539672851562,-352.54522705078125,-183.26910400390625,-343.5660705566406,-855.1860961914062
2026-06-09T09:34:44.751830,-1104.9039306640625,-528.2568359375,-352.5483093261719,-183.27471923828125,-343.6087341308594,-855.0404663085938
2026-06-09T09:34:44.761489,-1104.8922119140625,-528.2543334960938,-352.5355529785156,-183.25808715820312,-343.6097106933594,-855.0046997070312
2026-06-09T09:34:44.771489,-1104.9000244140625,-528.2525024414062,-352.5491027832031,-183.26744079589844,-343.62078857421875,-854.9970092773438
2026-06-09T09:34:44.781489,-1104.90087890625,-528.2657470703125,-352.5419006347656,-183.26290893554688,-343.6252136230469,-854.973876953125
2026-06-09T09:34:44.791489,-1104.8939208984375,-528.2527465820312,-352.5523986816406,-183.2687530517578,-343.6384582519531,-854.9595336914062
2026-06-09T09:34:44.801489,-1104.8970947265625,-528.25244140625,-352.5502624511719,-183.26736450195312,-343.6462097167969,-854.9501342773438
2026-06-09T09:34:44.811489,-1104.890625,-528.2538452148438,-352.55023193359375,-183.2695770263672,-343.6563415527344,-854.9358520507812
2026-06-09T09:34:44.821489,-1104.9013671875,-528.2577514648438,-352.546875,-183.26858520507812,-343.6501159667969,-854.9251708984375
2026-06-09T09:34:44.831489,-1104.8922119140625,-528.2532348632812,-352.5594787597656,-183.26763916015625,-343.65478515625,-854.9207153320312
2026-06-09T09:34:44.841489,-1104.8973388671875,-528.257080078125,-352.5465393066406,-183.25830078125,-343.6560974121094,-854.9305419921875
2026-06-09T09:34:44.851489,-1104.8946533203125,-528.258544921875,-352.5536804199219,-183.27056884765625,-343.6529541015625,-854.9248046875
2026-06-09T09:34:44.861489,-1104.9072265625,-528.2518310546875,-352.5528564453125,-183.26856994628906,-343.657958984375,-854.9292602539062
2026-06-09T09:34:44.871489,-1104.890380859375,-528.2655029296875,-352.54547119140625,-183.26953125,-343.646484375,-854.92724609375
2026-06-09T09:34:44.881489,-1104.9017333984375,-528.25244140625,-352.55126953125,-183.26730346679688,-343.64984130859375,-854.929931640625
2026-06-09T09:34:44.891489,-1104.88427734375,-528.2581176757812,-352.5458068847656,-183.26443481445312,-343.64703369140625,-854.9281616210938
2026-06-09T09:34:44.901489,-1104.9068603515625,-528.2529907226562,-352.551025390625,-183.26638793945312,-343.6411437988281,-854.9296875
2026-06-09T09:34:44.911489,-1104.8985595703125,-528.2604370117188,-352.5497741699219,-183.26556396484375,-343.6463317871094,-854.9304809570312
2026-06-09T09:34:44.921489,-1104.8997802734375,-528.25146484375,-352.5478515625,-183.26426696777344,-343.656005859375,-854.9288940429688
2026-06-09T09:34:44.931489,-1104.9012451171875,-528.2647705078125,-352.5482177734375,-183.26979064941406,-343.6380310058594,-854.9415893554688
2026-06-09T09:34:44.941489,-1104.897705078125,-528.2539672851562,-352.5527648925781,-183.26858520507812,-343.65814208984375,-854.9288940429688
2026-06-09T09:34:44.951489,-1104.8924560546875,-528.252197265625,-352.5516052246094,-183.26266479492188,-343.63250732421875,-854.93505859375
2026-06-09T09:34:44.961489,-1104.9075927734375,-528.256591796875,-352.54461669921875,-183.2777099609375,-343.8751525878906,-854.9700927734375
2026-06-09T09:34:44.971489,-1104.891357421875,-528.2559204101562,-352.5513610839844,-183.26242065429688,-343.588134765625,-855.031494140625
2026-06-09T09:34:44.981489,-1104.9027099609375,-528.2691650390625,-352.5440979003906,-183.26348876953125,-343.5517578125,-855.1875610351562
2026-06-09T09:34:44.991489,-1104.902099609375,-528.2586059570312,-352.5479431152344,-183.25872802734375,-343.60333251953125,-855.047119140625
2026-06-09T09:34:45.001489,-1104.89794921875,-528.2559814453125,-352.5545654296875,-183.25843811035156,-343.5960388183594,-855.0137939453125
2026-06-09T09:34:45.011489,-1104.90673828125,-528.2537231445312,-352.54827880859375,-183.26605224609375,-343.8924865722656,-854.9492797851562
2026-06-09T09:34:45.021489,-1104.8984375,-528.2643432617188,-352.54864501953125,-183.2682647705078,-343.5891418457031,-855.0689697265625
2026-06-09T09:34:45.031489,-1104.890869140625,-528.2513427734375,-352.54486083984375,-183.27029418945312,-343.5650634765625,-855.1741333007812
2026-06-09T09:34:45.041489,-1104.900146484375,-528.2604370117188,-352.5470275878906,-183.26889038085938,-343.60125732421875,-855.039794921875
2026-06-09T09:34:45.051489,-1104.8951416015625,-528.2606811523438,-352.5488586425781,-183.2722930908203,-343.6017761230469,-855.0255737304688
2026-06-09T09:34:45.061489,-1104.90576171875,-528.2657470703125,-352.5503845214844,-183.26385498046875,-343.61785888671875,-854.986328125
2026-06-09T09:34:45.071489,-1104.9051513671875,-528.2587280273438,-352.5406494140625,-183.2654266357422,-343.6311950683594,-854.9840087890625
2026-06-09T09:34:45.081489,-1104.9053955078125,-528.2576904296875,-352.5473327636719,-183.26930236816406,-343.62774658203125,-854.9689331054688
2026-06-09T09:34:45.091489,-1104.9033203125,-528.2560424804688,-352.5480651855469,-183.2659454345703,-343.6782531738281,-854.939208984375
2026-06-09T09:34:45.101489,-1104.8912353515625,-528.2525634765625,-352.5496826171875,-183.26766967773438,-343.6458435058594,-854.9354248046875
2026-06-09T09:34:45.111489,-1104.890625,-528.2537231445312,-352.5508117675781,-183.26795959472656,-343.6584167480469,-854.9191284179688
2026-06-09T09:34:45.121489,-1104.900390625,-528.2589721679688,-352.5478515625,-183.27047729492188,-343.6563415527344,-854.9242553710938
2026-06-09T09:34:45.131489,-1104.89404296875,-528.2550048828125,-352.54986572265625,-183.2654571533203,-343.643310546875,-854.9325561523438
2026-06-09T09:34:45.141489,-1104.906982421875,-528.2548828125,-352.5419921875,-183.26220703125,-343.6501770019531,-854.930908203125
2026-06-09T09:34:45.151489,-1104.8902587890625,-528.2587890625,-352.5513610839844,-183.27235412597656,-343.8788757324219,-854.9722290039062
2026-06-09T09:34:45.161489,-1104.903564453125,-528.2557373046875,-352.5462341308594,-183.26429748535156,-343.61163330078125,-855.1022338867188
2026-06-09T09:34:45.171489,-1104.8973388671875,-528.2510986328125,-352.5416259765625,-183.27488708496094,-343.589599609375,-855.1973876953125
2026-06-09T09:34:45.181489,-1104.8948974609375,-528.2586669921875,-352.5412292480469,-183.25938415527344,-343.5777587890625,-855.14111328125
2026-06-09T09:34:45.191489,-1104.90478515625,-528.2579345703125,-352.5436706542969,-183.26686096191406,-343.59405517578125,-855.0429077148438
2026-06-09T09:34:45.201489,-1104.9014892578125,-528.2626953125,-352.55181884765625,-183.2683563232422,-343.877197265625,-854.9666137695312
2026-06-09T09:34:45.211489,-1104.89990234375,-528.2542114257812,-352.54278564453125,-183.27615356445312,-343.5744934082031,-855.0960083007812
2026-06-09T09:34:45.221489,-1104.8931884765625,-528.2576904296875,-352.5416259765625,-183.26593017578125,-343.57135009765625,-855.1673583984375
2026-06-09T09:34:45.231489,-1104.8931884765625,-528.2608032226562,-352.5413818359375,-183.2663116455078,-343.5943298339844,-855.0575561523438
2026-06-09T09:34:45.241489,-1104.908203125,-528.2577514648438,-352.5412902832031,-183.27804565429688,-343.5943298339844,-855.01611328125
2026-06-09T09:34:45.251489,-1104.8975830078125,-528.2570190429688,-352.54522705078125,-183.27000427246094,-343.61102294921875,-855.0000610351562
2026-06-09T09:34:45.261489,-1104.899169921875,-528.2603149414062,-352.5505065917969,-183.2749481201172,-343.6324462890625,-854.9733276367188
2026-06-09T09:34:45.271489,-1104.8909912109375,-528.261474609375,-352.53924560546875,-183.27601623535156,-343.63104248046875,-854.9708862304688
2026-06-09T09:34:45.281489,-1104.8948974609375,-528.2579956054688,-352.5492248535156,-183.26516723632812,-343.6256103515625,-854.95458984375
2026-06-09T09:34:45.291489,-1104.894287109375,-528.2536010742188,-352.5445556640625,-183.28114318847656,-343.64898681640625,-854.9379272460938
2026-06-09T09:34:45.301489,-1104.9007568359375,-528.2601318359375,-352.5497131347656,-183.26287841796875,-343.63726806640625,-854.9385986328125
