timestamp,dB_SPL,-90.0,-87.0,-84.0,-81.0,-78.0,-75.0,-72.0,-69.0,-66.0,-63.0,-60.0,-57.0,-54.0,-51.0,-48.0,-45.0,-42.0,-39.0,-36.0,-33.0,-30.0,-27.0,-24.0,-21.0,-18.0,-15.0,-12.0,-9.0,-6.0,-3.0,0.0,3.0,6.0,9.0,12.0,15.0,18.0,21.0,24.0,27.0,30.0,33.0,36.0,39.0,42.0,45.0,48.0,51.0,54.0,57.0,60.0,63.0,66.0,69.0,72.0,75.0,78.0,81.0,84.0,87.0,90.0,robot_x,robot_y,speakerL_x,speakerL_y,speakerR_x,speakerR_y,sample_index,time_seconds,left_volume,right_volume
2026-06-02 11:55:42.758366,[94.1662166],3.9493851862393314e-07,3.953748011051577e-07,3.967761933381347e-07,3.994490452770048e-07,4.039994193027602e-07,4.114738308947941e-07,4.2354563264589003e-07,4.427240356381796e-07,4.725415544472213e-07,5.176500535040157e-07,5.837334860701319e-07,6.7714013477791e-07,8.041650630075568e-07,9.699877186129054e-07,1.177389899065211e-06,1.4255209989907337e-06,1.7090871965758376e-06,2.0183471911458366e-06,2.3401394877609397e-06,2.659841466685794e-06,2.9637576895734257e-06,3.241132995960089e-06,3.4849883260356494e-06,3.6913941987745607e-06,3.857532557484123e-06,3.979626132906316e-06,4.0521027371235565e-06,4.068914856561237e-06,4.026830416458387e-06,3.929254537995511e-06,3.7884504390720183e-06,3.6244171806474216e-06,3.460110796829376e-06,3.314505942055596e-06,3.196241139910805e-06,3.100572160371769e-06,3.011035341828032e-06,2.905244736281769e-06,2.762579722537549e-06,2.57091456311495e-06,2.3301667759404056e-06,2.051869923972158e-06,1.7554849286721892e-06,1.4631283467872963e-06,1.1945566501585225e-06,9.637355319033e-07,7.775070721965452e-07,6.361217323737133e-07,5.349588403011748e-07,4.66663586295531e-07,4.230880375675794e-07,3.966940764534456e-07,3.813335997665723e-07,3.724968632713578e-07,3.671991762897998e-07,3.636799209042804e-07,3.610491868982701e-07,3.589657043195192e-07,3.573841609259607e-07,3.563786101638762e-07,3.560321813008777e-07,-1111.5535888671875,-205.54129028320312,-325.048828125,93.64935302734376,-356.8841552734375,-586.431396484375,257536,5.365333,1.0,0.8
2026-06-02 11:55:42.785421,[71.89215293],4.9947297104069405e-09,5.0128680943701725e-09,5.0672097566197195e-09,5.157501842596008e-09,5.2832180158936775e-09,5.443411700918147e-09,5.636531779867337e-09,5.860222032293634e-09,6.1111330103553255e-09,6.384786215140474e-09,6.6755498374038625e-09,6.976818080188899e-09,7.281533639513112e-09,7.583244818681882e-09,7.877912451400765e-09,8.166617175008003e-09,8.459087213487944e-09,8.777513259437231e-09,9.159467627780286e-09,9.658081616965614e-09,1.0337319461237613e-08,1.1260678540108806e-08,1.2473281570116898e-08,1.3980021387906461e-08,1.5725434804837762e-08,1.7582986629462733e-08,1.936098357634556e-08,2.0828617297298838e-08,2.1759244153668825e-08,2.1981074379364376e-08,2.142093286009773e-08,2.0127103094035045e-08,1.8263011151180743e-08,1.6072746018780057e-08,1.3828528352078209e-08,1.1775578309145886e-08,1.0089447387207424e-08,8.855367688097902e-09,8.071203557750862e-09,7.66846801619299e-09,7.541986297359017e-09,7.578789643861244e-09,7.679711443242406e-09,7.771134913076674e-09,7.807752749011563e-09,7.769139627030024e-09,7.653343128012866e-09,7.47005545726853e-09,7.2348783645140634e-09,6.965233600366371e-09,6.677839949138678e-09,6.387392873819222e-09,6.106042622532982e-09,5.843346573912421e-09,5.606478614616485e-09,5.400565110078113e-09,5.229071642280647e-09,5.094193493336894e-09,4.997216817738426e-09,4.9388251541659505e-09,4.919331904828671e-09,-1110.8431396484375,-205.61984252929688,-325.0534973144531,93.65470886230467,-356.8818664550781,-586.438232421875,259072,5.397333,1.0,0.8
2026-06-02 11:55:42.811694,[71.89215293],4.9947297104069405e-09,5.0128680943701725e-09,5.0672097566197195e-09,5.157501842596008e-09,5.2832180158936775e-09,5.443411700918147e-09,5.636531779867337e-09,5.860222032293634e-09,6.1111330103553255e-09,6.384786215140474e-09,6.6755498374038625e-09,6.976818080188899e-09,7.281533639513112e-09,7.583244818681882e-09,7.877912451400765e-09,8.166617175008003e-09,8.459087213487944e-09,8.777513259437231e-09,9.159467627780286e-09,9.658081616965614e-09,1.0337319461237613e-08,1.1260678540108806e-08,1.2473281570116898e-08,1.3980021387906461e-08,1.5725434804837762e-08,1.7582986629462733e-08,1.936098357634556e-08,2.0828617297298838e-08,2.1759244153668825e-08,2.1981074379364376e-08,2.142093286009773e-08,2.0127103094035045e-08,1.8263011151180743e-08,1.6072746018780057e-08,1.3828528352078209e-08,1.1775578309145886e-08,1.0089447387207424e-08,8.855367688097902e-09,8.071203557750862e-09,7.66846801619299e-09,7.541986297359017e-09,7.578789643861244e-09,7.679711443242406e-09,7.771134913076674e-09,7.807752749011563e-09,7.769139627030024e-09,7.653343128012866e-09,7.47005545726853e-09,7.2348783645140634e-09,6.965233600366371e-09,6.677839949138678e-09,6.387392873819222e-09,6.106042622532982e-09,5.843346573912421e-09,5.606478614616485e-09,5.400565110078113e-09,5.229071642280647e-09,5.094193493336894e-09,4.997216817738426e-09,4.9388251541659505e-09,4.919331904828671e-09,-1110.1666259765625,-205.72044372558597,-325.0512390136719,93.65311431884766,-356.88726806640625,-586.4354248046875,260096,5.418667,1.0,0.8
2026-06-02 11:55:42.839438,[65.37769281],4.900837881928742e-09,4.923179531832405e-09,4.990597806924013e-09,5.104230440935291e-09,5.2658269053199485e-09,5.477508852385832e-09,5.741401236859803e-09,6.059114454669118e-09,6.4310745724784805e-09,6.855734356204655e-09,7.328754113404117e-09,7.842312532313844e-09,8.384775663308217e-09,8.940984566816558e-09,9.493376965184506e-09,1.0023999026660321e-08,1.0517184463793441e-08,1.096233175643186e-08,1.1355919319131032e-08,1.1701833432868794e-08,1.2009394538072154e-08,1.2289183425043898e-08,1.2547716380420974e-08,1.278282145104086e-08,1.2981776170129484e-08,1.3123586594288342e-08,1.3185306409808384e-08,1.3150550619761832e-08,1.3017150403966965e-08,1.2800892282768938e-08,1.25336268509397e-08,1.2256187757031012e-08,1.2008556152683664e-08,1.1820628587467436e-08,1.1706434631034512e-08,1.1663060891266254e-08,1.1673707105191358e-08,1.1713060273077966e-08,1.175293011733867e-08,1.1766695887821648e-08,1.1732063530136978e-08,1.1632399087796107e-08,1.1457214125175824e-08,1.1202269656319128e-08,1.0869467572559496e-08,1.0466454742361508e-08,1.000579984268444e-08,9.503701436458332e-09,8.978349342073678e-09,8.448186703141824e-09,7.930351763834587e-09,7.439518455308271e-09,6.987243198934402e-09,6.581809605229655e-09,6.228477366803497e-09,5.929999931182459e-09,5.687273177527536e-09,5.500000648513722e-09,5.3672947915745474e-09,5.288166455811773e-09,5.2618799691017775e-09,-1109.74853515625,-205.7822265625,-325.0506286621094,93.6600112915039,-356.8970642089844,-586.4265747070312,261632,5.450667,1.0,0.8
2026-06-02 11:55:42.865460,[65.30705967],2.2816965955492524e-09,2.293376106933239e-09,2.328578581724458e-09,2.38776690625087e-09,2.471614830397009e-09,2.580856716745064e-09,2.7160727408383624e-09,2.877411643698665e-09,3.064262487641822e-09,3.274901197887425e-09,3.506155573534716e-09,3.753150526062881e-09,4.009208251232278e-09,4.265979632072838e-09,4.513868158459482e-09,4.742774052242881e-09,4.943136896335591e-09,5.107196919798968e-09,5.230336637853443e-09,5.312312112674759e-09,5.358139988144307e-09,5.3783775063027885e-09,5.388533214457516e-09,5.407407555842116e-09,5.454324657803721e-09,5.545499259129465e-09,5.690147573169258e-09,5.887279152195439e-09,6.124223034210622e-09,6.377692939584819e-09,6.617557360300925e-09,6.812617460541173e-09,6.936934224919044e-09,6.974932319724701e-09,6.9238286811137755e-09,6.792800075034451e-09,6.599374985187363e-09,6.364378624193056e-09,6.107059632085827e-09,5.841723731789021e-09,5.5764914274303605e-09,5.314015730320762e-09,5.053440400254161e-09,4.792694759589123e-09,4.530376164621825e-09,4.266816660412463e-09,4.0042926591188735e-09,3.746592057243816e-09,3.498257724228452e-09,3.263802288734268e-09,3.047092554166093e-09,2.8509893804173887e-09,2.677238597309788e-09,2.526555650677354e-09,2.398828936848725e-09,2.2933731357361067e-09,2.2091819250141223e-09,2.1451496748666875e-09,2.100248542603327e-09,2.0736587164018662e-09,2.064855508649161e-09,-1109.2138671875,-205.83636474609372,-325.0479736328125,93.64888763427734,-356.8821716308594,-586.4414672851562,262656,5.472,1.0,0.8
2026-06-02 11:55:42.891796,[65.30705967],2.2816965955492524e-09,2.293376106933239e-09,2.328578581724458e-09,2.38776690625087e-09,2.471614830397009e-09,2.580856716745064e-09,2.7160727408383624e-09,2.877411643698665e-09,3.064262487641822e-09,3.274901197887425e-09,3.506155573534716e-09,3.753150526062881e-09,4.009208251232278e-09,4.265979632072838e-09,4.513868158459482e-09,4.742774052242881e-09,4.943136896335591e-09,5.107196919798968e-09,5.230336637853443e-09,5.312312112674759e-09,5.358139988144307e-09,5.3783775063027885e-09,5.388533214457516e-09,5.407407555842116e-09,5.454324657803721e-09,5.545499259129465e-09,5.690147573169258e-09,5.887279152195439e-09,6.124223034210622e-09,6.377692939584819e-09,6.617557360300925e-09,6.812617460541173e-09,6.936934224919044e-09,6.974932319724701e-09,6.9238286811137755e-09,6.792800075034451e-09,6.599374985187363e-09,6.364378624193056e-09,6.107059632085827e-09,5.841723731789021e-09,5.5764914274303605e-09,5.314015730320762e-09,5.053440400254161e-09,4.792694759589123e-09,4.530376164621825e-09,4.266816660412463e-09,4.0042926591188735e-09,3.746592057243816e-09,3.498257724228452e-09,3.263802288734268e-09,3.047092554166093e-09,2.8509893804173887e-09,2.677238597309788e-09,2.526555650677354e-09,2.398828936848725e-09,2.2933731357361067e-09,2.2091819250141223e-09,2.1451496748666875e-09,2.100248542603327e-09,2.0736587164018662e-09,2.064855508649161e-09,-1108.5799560546875,-205.9170379638672,-325.0551452636719,93.66150665283205,-356.8858947753906,-586.423828125,263680,5.493333,1.0,0.8
2026-06-02 11:55:42.942276,[87.8821507],1.5684548512801096e-07,1.5812945688282778e-07,1.6203769719304585e-07,1.6874003977900913e-07,1.7852210547218325e-07,1.917880878506049e-07,2.0906246436776613e-07,2.309883216327763e-07,2.583192317351332e-07,2.919009454776177e-07,3.326387587229562e-07,3.81446515960629e-07,4.3917414192291844e-07,5.06512614711081e-07,5.838785571759591e-07,6.712850120073753e-07,7.682100011605841e-07,8.734792880799781e-07,9.851832237435252e-07,1.1006484993738117e-06,1.2164831730810595e-06,1.3287071599874082e-06,1.4329707966575288e-06,1.5248519821364366e-06,1.6002090149544903e-06,1.6555531835673346e-06,1.6883945265633945e-06,1.697508746291479e-06,1.6830762719718426e-06,1.6466585596592355e-06,1.591002162782164e-06,1.5196942057760908e-06,1.4367257242293535e-06,1.3460417491455815e-06,1.2511604910129968e-06,1.1549256662289571e-06,1.059420725598499e-06,9.660326158762403e-07,8.756188199322566e-07,7.887146076140076e-07,7.057206758916161e-07,6.270304361224725e-07,5.530823161767618e-07,4.843462433112788e-07,4.212685115874416e-07,3.642034923733188e-07,3.133560063476969e-07,2.687486576696997e-07,2.3021820723699258e-07,1.9743709440533573e-07,1.6995178433610818e-07,1.4722856735858705e-07,1.2869878273918613e-07,1.1379797588158924e-07,1.019962142692473e-07,9.281904682425574e-08,8.586012719171893e-08,8.078733596062518e-08,7.734447753917422e-08,7.535048569303461e-08,7.469771896214768e-08,-1107.3594970703125,-206.04751586914065,-325.0462341308594,93.65789794921876,-356.89068603515625,-586.4279174804688,266240,5.546667,1.0,0.8
2026-06-02 11:55:42.980508,[87.8821507],1.5684548512801096e-07,1.5812945688282778e-07,1.6203769719304585e-07,1.6874003977900913e-07,1.7852210547218325e-07,1.917880878506049e-07,2.0906246436776613e-07,2.309883216327763e-07,2.583192317351332e-07,2.919009454776177e-07,3.326387587229562e-07,3.81446515960629e-07,4.3917414192291844e-07,5.06512614711081e-07,5.838785571759591e-07,6.712850120073753e-07,7.682100011605841e-07,8.734792880799781e-07,9.851832237435252e-07,1.1006484993738117e-06,1.2164831730810595e-06,1.3287071599874082e-06,1.4329707966575288e-06,1.5248519821364366e-06,1.6002090149544903e-06,1.6555531835673346e-06,1.6883945265633945e-06,1.697508746291479e-06,1.6830762719718426e-06,1.6466585596592355e-06,1.591002162782164e-06,1.5196942057760908e-06,1.4367257242293535e-06,1.3460417491455815e-06,1.2511604910129968e-06,1.1549256662289571e-06,1.059420725598499e-06,9.660326158762403e-07,8.756188199322566e-07,7.887146076140076e-07,7.057206758916161e-07,6.270304361224725e-07,5.530823161767618e-07,4.843462433112788e-07,4.212685115874416e-07,3.642034923733188e-07,3.133560063476969e-07,2.687486576696997e-07,2.3021820723699258e-07,1.9743709440533573e-07,1.6995178433610818e-07,1.4722856735858705e-07,1.2869878273918613e-07,1.1379797588158924e-07,1.019962142692473e-07,9.281904682425574e-08,8.586012719171893e-08,8.078733596062518e-08,7.734447753917422e-08,7.535048569303461e-08,7.469771896214768e-08,-1106.5311279296875,-206.13526916503903,-325.049560546875,93.65311431884766,-356.888427734375,-586.4281616210938,268288,5.589333,1.0,0.8
2026-06-02 11:55:43.015247,[91.56392143],2.470170235474363e-07,2.461100039638631e-07,2.433481195821132e-07,2.3863160609895845e-07,2.3187113569096987e-07,2.231060810315334e-07,2.1267053795045173e-07,2.013959335346333e-07,1.908213770720539e-07,1.8335949215434614e-07,1.823425609220687e-07,1.918628054639611e-07,2.1633647570356562e-07,2.597773259281429e-07,3.248634023874464e-07,4.120030345021675e-07,5.187062892078324e-07,6.395831226498642e-07,7.671629783643543e-07,8.934543747720104e-07,1.0118115669867451e-06,1.118406538593311e-06,1.2126034397481803e-06,1.2959052574984449e-06,1.3698102657834903e-06,1.4335872667112249e-06,1.4832570471036258e-06,1.5126727673697228e-06,1.5165810328786917e-06,1.4943716501169165e-06,1.452545940824444e-06,1.4042403168479843e-06,1.3654165651564168e-06,1.3489856447388685e-06,1.3593013105000918e-06,1.389489155045456e-06,1.4229107765331275e-06,1.4382822859714886e-06,1.4164520527603671e-06,1.3462867708029858e-06,1.2276784178304098e-06,1.0709803322706016e-06,8.935467834018257e-07,7.149158509743083e-07,5.523043528423293e-07,4.176018374922685e-07,3.162962165509152e-07,2.4808319885838704e-07,2.085165380243421e-07,1.909833983502754e-07,1.8844927213510078e-07,1.9467410102376804e-07,2.048406884299951e-07,2.156957116690084e-07,2.253714741170705e-07,2.3305411472508038e-07,2.386233344110076e-07,2.423377607313466e-07,2.445963859696933e-07,2.457773040840099e-07,2.461403866649835e-07,-1105.4383544921875,-206.2409210205078,-325.0513916015625,93.65422058105467,-356.8629455566406,-586.40673828125,269824,5.621333,1.0,0.8
