timestamp,bump1,bump2,bump3,bump4,bump5,bump6,bump7,bump8,bump9,bump10,bump11,bump12,bump13,bump14,bump15,bump16,bump17,bump18,bump19,bump20,bump21,bump22,bump23,bump24,bump25,bump26,bump27,bump28,bump29,bump30,bump31,bump32,bump33,bump34,bump35,bump36,bump37,bump38,bump39,bump40,bump41,bump42,bump43,bump44,bump45,bump46,bump47,bump48,bump49,bump50,angle,speakerL_x,speakerL_y,speakerR_x,speakerR_y,robot_x,robot_y,sample_index,time_seconds,left_volume,right_volume,dB_SPL
2026-06-08 11:05:35.743380,-0.4152264346780323,-0.3719591641642141,7.563672995704415,8.92538330589644,-3.000000000000008,10.914879545838172,4.315188004929962,-7.500000000000007,-6.444975670179784,6.505390117519821,-5.443741749506341,-1.5000000000000087,7.506781789547754,1.0041119171148434,-0.785373684134575,1.9835990118979923,-4.500000000000009,9.463152351238143,-3.1069026679987117,-1.7416744594829487,5.093219961746678,0.2781583703334695,0.2134803209654151,-3.000000000000008,3.9486362446991383,1.499999999999991,-13.525415007295955,7.0609625622245265,-0.11370180794551808,-3.205400921754646,18.4043309988426,6.428339246165329,1.1137384620151565,-8.077629413458213e-15,0.06715602070586206,-1.5000000000000089,7.347184415831899,-3.419473057870992,5.93284397929412,1.661889523079021,-5.796684121208079,9.017072165683466,-3.5882399848974003,0.6488095547351043,4.185804320264687,2.7673022405802423,4.772961062865112,1.4292015958368705,2.3076882155681937,3.305697814942738,47.508414667525095,-471.5038757324219,203.72560119628903,-454.3950805664063,-475.16790771484375,-1234.32568359375,-151.4556884765625,199168,4.149333,0.656165,0.743835,93.22341692
2026-06-08 11:05:35.771235,5.449248394202281,-4.500000000000008,1.1362580265963345,10.26772182036267,3.001740469367273,4.275185148180497,4.231708592024644,-5.115426153676924,4.49999999999999,-7.61432784453884,0.5190200653842559,6.272987643471864,10.192391860764891,1.6739693277609229,2.9999999999999907,-8.26174629279763,4.49999999999999,6.495866799298895,6.506783328400317,-4.500000000000008,-0.5280399336883284,-5.847992640251306,-0.5625797416513906,5.538083095440349,3.727489201239484,-9.120998542354135,-7.559069252554322,14.929271078849032,2.4745783936439394,6.86109271134218,-2.3320612493879977,18.591045295218905,-1.2208507896118903,3.8099468462941455,12.086771099674635,-6.248825849526624,-1.2610557684083714,1.499999999999991,5.080847384345017,1.7248148518194852,-0.020551583459607677,7.721558350382349,6.389383499299044,4.01679551565127,7.49999999999999,11.175531909746693,4.723047298153188,5.645853678328826,6.940881480054053,1.0164009881019906,47.54893758455709,-471.49908447265625,203.73614501953125,-454.42193603515625,-475.15728759765625,-1233.59619140625,-151.4520263671875,200192,4.170667,0.656825,0.743175,93.22341692
2026-06-08 11:05:35.800454,-70.5,160.92644939529276,129.60136482286816,-62.54511437526289,5.519276695145014,-161.49120135423144,64.5,174.56590722213207,68.99999999999999,126.0,48.94891283488384,71.99999999999997,-108.0,-80.10145698051217,-20.164959151234765,88.75592754024316,-46.871920536124314,-81.24056424159718,106.49999999999997,-67.50000000000003,-173.40281252134812,65.81675476427135,-32.6069541406787,147.28474815345058,151.04106889246341,-176.44028210888598,104.1053198191864,142.83850567268263,32.999999999999986,94.64503562267535,0.0,-87.00000000000001,0.0,-127.06530045787659,0.0,-84.00000000000001,26.24548279337074,-177.64357395506468,71.19649686202874,-177.28998955954305,-82.49999999999991,0.0,149.13734369109656,128.99999999999997,-139.9671065418903,149.09116764193138,89.00101701768256,135.0,43.003564454296466,-153.0,47.58708678762299,-471.5006408691406,203.7359161376953,-454.58636474609375,-475.0724792480469,-1232.8828125,-151.4538116455078,201728,4.202667,0.657874,0.742126,68.77274287
2026-06-08 11:05:35.959376,-0.9559252742765117,4.856580095790845,-2.9533717666024866,-13.514538960154436,6.8903228222207,2.810171966457407,-0.4492422429653258,-2.7623302509464036,1.4999999999999907,-1.2105767178903069,-1.5000000000000087,5.929402268034226,-7.500000000000007,5.137157956970531,-5.448881911736557,5.546176620547911,4.42259552320939,5.390606973831503,7.2314504314428145,11.285889103497121,1.570798404163111,-3.000000000000008,-2.5631988243238357,22.72199245868396,6.2888150395099425,-8.759238538728375e-15,-5.6805907720218025,2.562692280286254,3.243788237354645,-9.39013289997528,-8.530106472129852,4.357086492303554,-4.429201595836887,8.750971066020231,0.2930607305913806,-7.366228625559618,4.606640819372998,6.585452235623765,4.21442463315805,5.485676387569642,4.263680217550816,-0.1385162902493757,-8.763729951787843,5.624184501276886,10.615199914493074,2.9999999999999902,0.33540472457502846,-1.967082536344383,-6.000000000000007,4.275185148180497,47.78261386460083,-471.491943359375,203.7338714599609,-454.3877868652344,-475.1763610839844,-1229.352294921875,-151.54342651367188,209408,4.362667,0.664101,0.735899,93.27061452
2026-06-08 11:05:35.985936,-82.93205205209065,28.499999999999993,44.99999999999999,-42.00000000000001,125.05493410183828,68.92815118375047,77.21748833422707,70.43085629442346,-137.24651208282717,-161.26066579790546,-22.024985614027486,-102.0,102.75193151757136,82.28644370926426,-133.24408081870658,71.99999999999999,-150.0,0.0,-46.89299900387573,108.42878988921503,30.18140932519672,131.7444329054987,40.25085807972507,113.80708319471081,127.49999999999999,-81.0,-91.01477037432159,34.03694052806143,-11.652053323343502,150.19198255490767,-33.00000000000001,-163.75123797570953,-53.99999999999999,-176.1143423715823,32.999999999999986,-3.636640558613496,-168.69290979949741,72.08136533152866,0.0,95.569873781071,92.99999999999999,-16.051571002100598,128.7281778264172,19.4279082789465,-151.72684650571125,-27.0,-51.70797320644084,166.5,-37.50000000000001,0.0,47.83422758952739,-471.4853820800781,203.7342834472656,-454.3820495605469,-475.180908203125,-1228.4197998046875,-151.5626983642578,210432,4.384,0.665047,0.734953,69.79937808
2026-06-08 11:05:36.013140,64.21272229932777,0.0,110.51992436198596,55.136602667519156,-132.0608356735052,-38.0142359593391,179.99999999999997,6.800679793505887,153.0,-57.45969372241652,0.0,-88.5,0.0,-128.85098823353152,0.0,-49.58262481851835,-22.00438332485706,18.863747986600824,-149.56545896570958,146.57578258755652,90.0,-165.49971041249833,122.99999999999999,25.513151435542454,20.66585573672244,-85.357381003379,4.177673731126022,169.9782388644644,-165.18025369960185,-130.20651278595244,23.999999999999982,-24.00000000000001,74.99999999999999,-110.8958194105907,124.70138375549865,-157.00356445429645,-169.55861677813147,31.213118219884937,178.5970994181336,-1.8069837898011738,-165.0,41.99999999999998,0.0,19.986484267284673,29.304591893001138,-16.14949376185835,-37.82205503159267,-6.000000000000005,77.99999999999993,47.61987630083805,47.88795560785218,-471.4938354492188,203.7422790527344,-454.3955383300781,-475.2314453125,-1227.5294189453125,-151.5472869873047,211968,4.416,0.666512,0.733488,69.79937808
2026-06-08 11:05:36.041138,-147.16697158472823,-111.71178751310933,-41.60008396411356,122.99999999999999,0.0,163.5802944301681,-98.61922687241996,121.14360164754481,61.30079229260951,122.99999999999999,16.803187795040742,-102.0,63.082858287502475,26.15160596556057,-28.34796433198905,0.0,-53.586539025091994,-15.000000000000009,0.0,161.99999999999997,132.9986930491593,147.30964501642578,-153.69001534455288,-97.91997988070455,-150.0,-109.50000000000001,0.0,-48.06070155962438,58.49999999999997,67.62688700969967,125.3282794210209,-134.6368214227692,-132.0,109.49999999999999,-129.00000000000003,-49.51143046728503,111.69156594011771,92.12710278645402,68.99999999999999,-153.00000000000003,0.0,-156.0,7.383881829608859,-128.38603393247132,144.92853236347756,-180.0,34.5,34.08588979437593,-65.6707118360728,0.0,47.93252191956467,-471.5055541992188,203.7327117919922,-454.3824768066406,-475.2003784179688,-1226.682373046875,-151.53782653808594,213504,4.448,0.668032,0.731968,65.27249549
2026-06-08 11:05:36.159546,0.8032014338888281,1.8557787966007726,5.99999999999999,-2.3103761638249387,5.537618706223778,-0.08738010853337863,1.570798404163111,0.37581549872309644,-4.699986425827816,14.780667195683675,7.294650312428085,-7.650302481754231,15.78809847161614,5.93284397929412,15.617677553920718,-2.7875513699227286,0.5282577405881265,0.07815714625868872,2.1967985661111546,2.361525017198043,2.6813605515597887,-4.322496769098968,4.275185148180496,4.631546337201122,16.609187638120208,-7.005364951582439,0.13851629024935772,11.646099570646655,5.999999999999989,4.49999999999999,-3.01767098709685,6.9538124137555775,4.703437332496447,-10.100360607272604,3.2484986169300574,-1.8678511084923821,-2.7861128488563476,-0.16692721866414456,14.93284397929412,-1.2204975755470027,12.146590981260172,-0.07884045500206015,13.368453662798856,-2.5179146231972647,2.9999999999999907,10.49999999999999,-1.9910343933723957,2.9999999999999902,9.01767098709683,-2.644724161121869,48.113160183835014,-471.5064086914063,203.72494506835935,-454.4659729003906,-475.1206665039063,-1223.3905029296875,-151.54457092285156,219136,4.565333,0.674027,0.725973,93.35001667
2026-06-08 11:05:36.185340,-75.59462369531091,160.47251911561978,-77.99999999999996,63.346445877434945,-167.44942711846872,0.0,119.99004819973598,92.57647187888969,-28.196949395869442,-106.95553187992613,144.0,15.746946686001163,-8.87510918735625e-15,57.47302824121902,-72.44700519356883,9.320637107285402,0.2588753395191775,-11.692157051105424,-69.00000000000001,166.5,-34.50000000000001,-16.50000000000009,-53.99999999999999,137.99999999999997,-157.5,168.7753005404571,54.33865408098994,-43.50000000000001,43.49999999999999,-86.81948422011563,0.0,0.0,-157.2864386543607,-165.92065927979655,157.51240854094553,-24.43844697988857,-46.40207366112935,-51.00000000000001,50.999999999999986,35.01260504598699,150.1903867524843,-119.99999999999999,-29.999999999999996,147.0,0.0,-48.00000000000001,0.0,0.0,-144.0,26.1190257098977,48.1466202755401,-471.4965515136719,203.72976684570312,-454.4585266113281,-475.1325988769531,-1222.804443359375,-151.53555297851562,220160,4.586667,0.675182,0.724818,70.21962007
2026-06-08 11:05:36.212588,51.12937600088133,-169.49619015703212,0.0,24.31750780468837,-104.08777306772949,129.03651146632788,-172.68731018267607,-6.000000000000009,79.49999999999999,-129.0,-80.32802431492394,-141.4824927193807,32.57392783859547,171.318444373824,-52.00344728995482,-69.00000000000001,59.80792052193437,-108.0,75.64754694058944,-177.55279135820746,-110.92666149288964,-150.0,-146.3559623144538,-164.89695487093536,153.0,110.99999999999997,136.6989467255511,-43.500000000000014,0.0,-34.66410295547889,0.0,45.40624080301339,31.06520536687125,-166.5,50.8259568040011,-85.5,-95.01881854920431,55.499999999999986,96.0,147.02931636060154,-3.0384926076040815,0.0,-50.56970193894254,-9.413381814162081,43.01151624661948,145.33033789050393,-72.26509555957895,108.0,13.49999999999999,94.84031742888827,48.195823572969076,-471.505126953125,203.72903442382807,-454.4353332519531,-475.1548767089844,-1221.9468994140625,-151.5250701904297,221696,4.618667,0.676947,0.723053,70.21962007
