timestamp,angle
2026-04-02T12:28:34.548860,30.618607642479233
2026-04-02T12:28:34.549047,30.61865178445697
2026-04-02T12:28:34.549184,30.618615120427005
2026-04-02T12:28:34.556304,30.618447146021055
2026-04-02T12:28:34.566565,30.618469249329635
2026-04-02T12:28:34.601548,30.618246884949166
2026-04-02T12:28:34.610642,30.618638437211146
2026-04-02T12:28:34.617059,30.618601314012896
2026-04-02T12:28:34.627234,30.618910514849656
2026-04-02T12:28:34.637939,30.61855074920746
2026-04-02T12:28:34.646733,30.61835071744211
2026-04-02T12:28:34.656620,30.618659453139664
2026-04-02T12:28:34.695423,30.618602559562998
2026-04-02T12:28:34.701367,30.61847389265766
2026-04-02T12:28:34.708965,30.61880323531493
2026-04-02T12:28:34.717018,30.618533366776845
2026-04-02T12:28:34.727832,30.618696408047864
2026-04-02T12:28:34.736507,30.618377639798407
2026-04-02T12:28:34.746384,30.618347323788672
2026-04-02T12:28:34.786170,30.618588422930866
2026-04-02T12:28:34.791757,30.618408758678218
2026-04-02T12:28:34.801331,30.61868294361896
2026-04-02T12:28:34.810193,30.618541442243657
2026-04-02T12:28:34.817156,30.618469765578556
2026-04-02T12:28:34.832162,30.618666898492496
2026-04-02T12:28:34.866646,30.61843105552101
2026-04-02T12:28:34.872371,30.618691593260532
2026-04-02T12:28:34.876983,30.618664649068712
2026-04-02T12:28:34.886944,30.618513663145514
2026-04-02T12:28:34.897774,30.618252746678436
2026-04-02T12:28:34.906528,30.618635184721615
2026-04-02T12:28:34.944968,30.618825663938818
2026-04-02T12:28:34.952335,30.61872845782792
2026-04-02T12:28:34.959242,30.618467868404856
2026-04-02T12:28:34.970480,30.61846794060364
2026-04-02T12:28:34.976250,30.61830460851597
2026-04-02T12:28:34.986902,30.618533047241726
2026-04-02T12:28:34.996560,30.618340022194836
2026-04-02T12:28:35.007370,30.618505899772497
2026-04-02T12:28:35.016718,30.618322244617293
2026-04-02T12:28:35.028969,30.618620538097847
2026-04-02T12:28:35.037877,30.61852877865391
2026-04-02T12:28:35.046532,30.618643823871153
2026-04-02T12:28:35.057815,30.618609513074993
2026-04-02T12:28:35.067892,30.618347496767306
2026-04-02T12:28:35.076239,30.619034213406504
2026-04-02T12:28:35.086976,30.61852836718407
2026-04-02T12:28:35.097442,30.61843301982673
2026-04-02T12:28:35.106756,30.618452593019885
2026-04-02T12:28:35.116943,30.618605205795053
2026-04-02T12:28:35.127702,30.61872904182188
2026-04-02T12:28:35.137923,30.618308560920525
2026-04-02T12:28:35.146991,30.618580490223128
2026-04-02T12:28:35.157167,30.61845396997438
2026-04-02T12:28:35.167158,30.618468687973547
2026-04-02T12:28:35.177642,30.61864356959313
2026-04-02T12:28:35.187983,30.618503662495577
2026-04-02T12:28:35.196852,30.618332399498893
2026-04-02T12:28:35.207220,30.618560778974466
2026-04-02T12:28:35.217448,30.618551654507602
2026-04-02T12:28:35.227271,30.61845081574882
2026-04-02T12:28:35.237268,30.61839549147909
2026-04-02T12:28:35.248145,30.61845511067149
2026-04-02T12:28:35.257000,30.618658578859414
2026-04-02T12:28:35.267945,30.618652135058404
2026-04-02T12:28:35.277753,30.61853863630867
2026-04-02T12:28:35.287900,30.61863681086388
2026-04-02T12:28:35.296788,30.618504311754865
2026-04-02T12:28:35.307666,30.618435581398376
2026-04-02T12:28:35.318589,30.61840589951033
2026-04-02T12:28:35.327266,30.618416075307177
2026-04-02T12:28:35.337884,30.6185021181167
2026-04-02T12:28:35.348077,30.618726600268012
2026-04-02T12:28:35.357212,30.618433575992558
2026-04-02T12:28:35.367220,30.61851454158564
2026-04-02T12:28:35.376845,30.6183652533959
2026-04-02T12:28:35.387159,30.618449351918304
2026-04-02T12:28:35.403569,30.618645290296385
